date,name,confidence
2011-01-26,Republic Day,fixed
2011-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2011-04-22,Good Friday,fixed
2011-08-15,Independence Day,fixed
2012-01-26,Republic Day,fixed
2012-04-06,Good Friday,fixed
2012-05-01,Maharashtra Day,fixed
2012-08-15,Independence Day,fixed
2012-10-02,Mahatma Gandhi Jayanti,fixed
2012-12-25,Christmas,fixed
2013-03-29,Good Friday,fixed
2013-05-01,Maharashtra Day,fixed
2013-08-15,Independence Day,fixed
2013-10-02,Mahatma Gandhi Jayanti,fixed
2013-12-25,Christmas,fixed
2014-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2014-04-18,Good Friday,fixed
2014-05-01,Maharashtra Day,fixed
2014-08-15,Independence Day,fixed
2014-10-02,Mahatma Gandhi Jayanti,fixed
2014-12-25,Christmas,fixed
2015-01-26,Republic Day,fixed
2015-04-03,Good Friday,fixed
2015-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2015-05-01,Maharashtra Day,fixed
2015-10-02,Mahatma Gandhi Jayanti,fixed
2015-12-25,Christmas,fixed
2016-01-26,Republic Day,fixed
2016-03-25,Good Friday,fixed
2016-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2016-08-15,Independence Day,fixed
2017-01-26,Republic Day,fixed
2017-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2017-04-14,Good Friday,fixed
2017-05-01,Maharashtra Day,fixed
2017-08-15,Independence Day,fixed
2017-10-02,Mahatma Gandhi Jayanti,fixed
2017-12-25,Christmas,fixed
2018-01-26,Republic Day,fixed
2018-03-30,Good Friday,fixed
2018-05-01,Maharashtra Day,fixed
2018-08-15,Independence Day,fixed
2018-10-02,Mahatma Gandhi Jayanti,fixed
2018-12-25,Christmas,fixed
2019-04-19,Good Friday,fixed
2019-05-01,Maharashtra Day,fixed
2019-08-15,Independence Day,fixed
2019-10-02,Mahatma Gandhi Jayanti,fixed
2019-12-25,Christmas,fixed
2020-04-10,Good Friday,fixed
2020-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2020-05-01,Maharashtra Day,fixed
2020-10-02,Mahatma Gandhi Jayanti,fixed
2020-12-25,Christmas,fixed
2021-01-26,Republic Day,fixed
2021-04-02,Good Friday,fixed
2021-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2022-01-26,Republic Day,fixed
2022-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2022-04-15,Good Friday,fixed
2022-08-15,Independence Day,fixed
2023-01-26,Republic Day,fixed
2023-04-07,Good Friday,fixed
2023-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2023-05-01,Maharashtra Day,fixed
2023-08-15,Independence Day,fixed
2023-10-02,Mahatma Gandhi Jayanti,fixed
2023-12-25,Christmas,fixed
2024-01-26,Republic Day,fixed
2024-03-29,Good Friday,fixed
2024-05-01,Maharashtra Day,fixed
2024-08-15,Independence Day,fixed
2024-10-02,Mahatma Gandhi Jayanti,fixed
2024-12-25,Christmas,fixed
2025-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2025-04-18,Good Friday,fixed
2025-05-01,Maharashtra Day,fixed
2025-08-15,Independence Day,fixed
2025-10-02,Mahatma Gandhi Jayanti,fixed
2025-12-25,Christmas,fixed
2026-01-26,Republic Day,fixed
2026-04-03,Good Friday,fixed
2026-04-14,Dr. Baba Saheb Ambedkar Jayanti,fixed
2026-05-01,Maharashtra Day,fixed
2026-10-02,Mahatma Gandhi Jayanti,fixed
2026-12-25,Christmas,fixed
