"Date","Symbol","Marketcapname","Sector"
"21-08-2023","YUKEN","Smallcap","Industrials"
"21-08-2023","KOPRAN","Smallcap","Healthcare"
"21-08-2023","NGLFINE","Smallcap","Healthcare"
"21-08-2023","ATULAUTO","Smallcap","Auto"
"28-08-2023","MANINDS","Midcap","Metals & Mining"
"28-08-2023","MENONBE","Smallcap","Auto"
"28-08-2023","OPTIEMUS","Midcap","Telecom"
"28-08-2023","NITINSPIN","Smallcap","Textiles"
"28-08-2023","PGEL","Midcap","Consumer Discretionary"
"28-08-2023","SHARDAMOTR","Midcap","Auto"
"04-09-2023","BBTC","Midcap","Auto"
"04-09-2023","FMGOETZE","Smallcap","Auto"
"04-09-2023","GMBREW","Smallcap","FMCG"
"04-09-2023","RAMRAT","Midcap","Metals & Mining"
"04-09-2023","IOLCP","Midcap","Healthcare"
"04-09-2023","PDSL","Smallcap","Textiles"
"04-09-2023","DEVYANI","Midcap","Consumer Discretionary"
"04-09-2023","LANDMARK","Smallcap","Consumer Discretionary"
"11-09-2023","DHAMPURSUG","Smallcap","FMCG"
"11-09-2023","NIITLTD","Smallcap","I.T"
"11-09-2023","SPMLINFRA","Smallcap","Realty"
"11-09-2023","PANACEABIO","Smallcap","Healthcare"
"11-09-2023","RML","Smallcap","Auto"
"11-09-2023","SUNDARMFIN","Largecap","Financials"
"18-09-2023","BLUESTARCO","Largecap","Consumer Discretionary"
"18-09-2023","DYNAMATECH","Midcap","Aerospace & Defence"
"18-09-2023","PNBGILTS","Smallcap","Financials"
"25-09-2023","PURVA","Midcap","Realty"
"25-09-2023","ASHOKA","Smallcap","Realty"
"03-10-2023","ECLERX","Midcap","I.T"
"03-10-2023","KCP","Smallcap","Building Materials"
"03-10-2023","METROBRAND","Largecap","Consumer Discretionary"
"09-10-2023","ORIENTHOT","Smallcap","Services"
"09-10-2023","MICEL","Smallcap","Consumer Discretionary"
"09-10-2023","HITECH","Smallcap","Metals & Mining"
"16-10-2023","CRISIL","Largecap","Financials"
"16-10-2023","STYRENIX","Smallcap","Energy"
"16-10-2023","JPOLYINVST","Smallcap","Financials"
"16-10-2023","STARCEMENT","Midcap","Building Materials"
"23-10-2023","BBOX","Midcap","I.T"
"23-10-2023","HIRECT","Smallcap","Consumer Discretionary"
"23-10-2023","ARROWGREEN","Smallcap","Plastic products"
"23-10-2023","RAMCOIND","Smallcap","Building Materials"
"23-10-2023","CREDITACC","Largecap","Financials"
"30-10-2023","TI","Midcap","FMCG"
"30-10-2023","LTFOODS","Midcap","FMCG"
"30-10-2023","PFS","Smallcap","Financials"
"30-10-2023","GREENLAM","Midcap","Building Materials"
"30-10-2023","SATIN","Smallcap","Financials"
"30-10-2023","TSFINV","Midcap","Financials"
"30-10-2023","ANUP","Smallcap","Industrials"
"06-11-2023","CENTRUM","Smallcap","Financials"
"06-11-2023","NESCO","Midcap","Realty"
"06-11-2023","TEXINFRA","Smallcap","Realty"
"06-11-2023","BLISSGVS","Midcap","Healthcare"
"06-11-2023","DHANUKA","Smallcap","Chemicals"
"06-11-2023","ADOR","Smallcap","Industrials"
"06-11-2023","CARYSIL","Smallcap","Consumer Discretionary"
"06-11-2023","MARKSANS","Midcap","Healthcare"
"06-11-2023","CAPLIPOINT","Largecap","Healthcare"
"06-11-2023","GREENPLY","Smallcap","Building Materials"
"06-11-2023","IOC","Largecap","Energy"
"06-11-2023","NSIL","Smallcap","Financials"
"06-11-2023","GREENPOWER","Smallcap","Power & Utilities"
"06-11-2023","ALKEM","Largecap","Healthcare"
"06-11-2023","QUESS","Midcap","Miscellaneous"
"06-11-2023","IFGLEXPOR","Smallcap","Building Materials"
"06-11-2023","PPLPHARMA","Largecap","Healthcare"
"13-11-2023","HITECHGEAR","Smallcap","Auto"
"13-11-2023","WOCKPHARMA","Largecap","Healthcare"
"13-11-2023","GVPIL","Smallcap","Realty"
"13-11-2023","EKC","Smallcap","Industrials"
"13-11-2023","NETWORK18","Smallcap","Media"
"13-11-2023","TITAGARH","Midcap","Industrials"
"13-11-2023","CAMS","Midcap","Financials"
"13-11-2023","DODLA","Midcap","FMCG"
"20-11-2023","BASF","Midcap","Chemicals"
"20-11-2023","MOREPENLAB","Midcap","Healthcare"
"20-11-2023","CENTRUM","Smallcap","Financials"
"20-11-2023","PENIND","Smallcap","Metals & Mining"
"20-11-2023","AJMERA","Smallcap","Realty"
"20-11-2023","MUNJALAU","Smallcap","Auto"
"20-11-2023","KOPRAN","Smallcap","Healthcare"
"20-11-2023","RAMCOIND","Smallcap","Building Materials"
"20-11-2023","NITINSPIN","Smallcap","Textiles"
"20-11-2023","FIEMIND","Midcap","Auto"
"20-11-2023","EDELWEISS","Midcap","Financials"
"20-11-2023","BGRENERGY","Smallcap","Realty"
"20-11-2023","ISGEC","Midcap","Realty"
"20-11-2023","MANINFRA","Midcap","Realty"
"20-11-2023","MOIL","Midcap","Metals & Mining"
"20-11-2023","KICL","Smallcap","Financials"
"20-11-2023","RTNINDIA","Smallcap","Financials"
"20-11-2023","NAVKARCORP","Smallcap","Transportation"
"20-11-2023","IMPAL","Smallcap","Auto"
"20-11-2023","AVADHSUGAR","Smallcap","FMCG"
"20-11-2023","RPSGVENT","Smallcap","I.T"
"20-11-2023","LATENTVIEW","Midcap","I.T"
"20-11-2023","DCXINDIA","Smallcap","Aerospace & Defence"
"28-11-2023","GUFICBIO","Smallcap","Healthcare"
"28-11-2023","ORCHPHARMA","Midcap","Healthcare"
"28-11-2023","CONFIPET","Smallcap","Miscellaneous"
"28-11-2023","DATAMATICS","Smallcap","I.T"
"28-11-2023","VEEDOL","Smallcap","Chemicals"
"28-11-2023","ASTERDM","Largecap","Healthcare"
"04-12-2023","IFCI","Largecap","Financials"
"04-12-2023","PATANJALI","Largecap","FMCG"
