"Sr.","Stock Name","Symbol","close","%_change","volume","Add Column"
1,"Sms Pharmaceuticals Limited","SMSPHARMA","466","11.63%","1,04,00,042",""
2,"Gayatri Projects Limited","GAYAPROJ","26.04","5%","26,86,464",""
3,"STL Networks Ltd","STLNETWORK","36.6","4.99%","55,79,693",""
4,"Venus Pipes & Tubes Ltd","VENUSPIPES","2,022","3.74%","3,01,617",""
5,"Finolex Cables Limited","FINCABLES","1,430.1","0.82%","33,58,624",""
6,"Centum Electronics Limited","CENTUM","4,239.4","0.69%","27,427",""
7,"Syrma SGS Technology Ltd","SYRMA","1,594.8","-0.25%","6,38,789",""
8,"Supreme Petrochem Ltd","SPLPETRO","820.5","-0.92%","1,76,541",""
9,"Kovai Medical Center & Hospital Ltd","KOVAI","6,205","-1.38%","4,574",""
10,"Wheels India Limited","WHEELS","2,229","-3.63%","3,86,141",""
