,is_n,is_r5,is_r20,is_r60,is_win20,oos_n,oos_r5,oos_r20,oos_r60,oos_win20
ALL,620.0,0.47,0.17,5.03,44.0,899.0,0.34,2.11,5.34,48.0
above200,620.0,0.47,0.17,5.03,44.0,898.0,0.34,2.11,5.35,48.0
below200,0.0,,,,,1.0,0.93,2.01,-1.13,100.0
off_hi>-10,485.0,0.23,-0.17,4.83,44.0,743.0,0.42,2.44,5.53,49.0
off_hi<-30,7.0,1.18,-6.67,-7.32,29.0,12.0,-5.52,-2.99,-5.95,33.0
ret20<15,189.0,0.72,2.45,6.14,49.0,322.0,0.93,2.87,6.21,51.0
ret20>=30,161.0,-0.42,-1.57,2.11,36.0,178.0,-0.39,3.1,7.35,46.0
wcmo 21-40,317.0,0.7,0.78,5.6,47.0,488.0,0.61,2.19,5.13,48.0
wcmo>60,52.0,-2.01,-0.86,5.05,37.0,76.0,0.75,3.22,5.06,49.0
mcmo>50,327.0,-0.24,-0.69,5.77,44.0,381.0,0.63,2.54,5.06,48.0
day chg>5,136.0,-0.25,-0.34,3.64,46.0,220.0,0.66,3.62,3.84,47.0
day chg<=2,384.0,0.57,0.5,5.53,44.0,537.0,-0.01,1.87,5.83,49.0
breadth>40,521.0,0.87,0.13,5.05,43.0,787.0,0.24,2.26,5.67,49.0
breadth<=40,99.0,-1.64,0.39,4.89,46.0,112.0,0.98,1.16,3.29,44.0
tsma>=20cr,283.0,0.23,-0.47,3.01,43.0,537.0,0.21,1.75,4.53,47.0
