start,end,years,final_equity,total_return_pct,cagr_pct,max_dd_pct,calmar,sharpe,trades,avg_open_positions,exposure_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_ret_pct,median_ret_pct,profit_factor,avg_r,avg_hold,best_pct,worst_pct,is_cagr,is_dd,oos_cagr,oos_dd,label
2018-01-01,2026-09-09,8.69,2107006,110.7,8.96,-52.1,0.17,0.5,486,7.03,70.3,33.7,25.91,-9.37,2.53,-5.13,1.32,0.17,31.1,567.3,-27.6,-1.7,-52.1,24.5,-28.7,next_open|none|state(wcmo>21)
2018-01-01,2026-09-09,8.69,719401,-28.1,-3.72,-46.86,-0.08,-0.11,691,5.64,56.4,41.8,13.12,-9.92,-0.28,-2.17,0.9,-0.02,17.5,108.6,-27.6,-10.0,-42.2,5.2,-25.6,next_open|none|hold20
2018-01-01,2026-09-09,8.69,4270575,327.1,18.19,-80.39,0.23,0.51,498,7.09,70.9,41.4,37.59,-12.53,8.2,-5.08,2.12,0.54,30.6,4090.4,-27.6,-7.0,-51.5,62.4,-80.4,next_open|none|hold40
2018-01-01,2026-09-09,8.69,1350634,35.1,3.52,-40.01,0.09,0.27,692,5.55,55.5,32.4,18.55,-7.52,0.92,-4.2,1.1,0.06,17.2,549.7,-20.6,-3.0,-40.0,12.4,-24.4,next_open|none|ema21
2018-01-01,2026-09-09,8.69,1878908,87.9,7.53,-43.72,0.17,0.45,445,7.2,72.0,33.0,28.39,-9.73,2.86,-5.41,1.23,0.19,34.7,462.0,-27.6,2.2,-43.7,14.4,-36.5,next_open|none|sma50
2018-01-01,2026-09-09,8.69,662416,-33.8,-4.63,-53.27,-0.09,-0.16,528,7.17,71.7,32.0,18.7,-9.53,-0.49,-6.65,0.88,-0.03,29.2,147.9,-20.6,-3.4,-33.5,-6.5,-53.3,next_open|none|trail15
2018-01-01,2026-09-09,8.69,1623961,62.4,5.74,-42.7,0.13,0.38,311,8.07,80.7,36.7,29.58,-12.06,3.21,-7.46,1.22,0.21,55.7,240.3,-27.6,5.6,-42.6,5.3,-42.7,next_open|none|trail20
2018-01-01,2026-09-09,8.69,2405942,140.6,10.63,-36.6,0.29,0.61,354,5.35,53.5,35.6,28.1,-9.68,3.77,-4.99,1.47,0.25,32.5,567.3,-30.6,1.7,-34.9,23.2,-21.8,next_open|br>40|state(wcmo>21)
2018-01-01,2026-09-09,8.69,701681,-29.8,-4.0,-47.0,-0.09,-0.16,519,4.23,42.3,41.0,13.06,-9.88,-0.46,-2.41,0.87,-0.03,17.5,100.5,-30.6,-8.5,-41.3,2.2,-16.5,next_open|br>40|hold20
2018-01-01,2026-09-09,8.69,729160,-27.1,-3.57,-37.76,-0.09,-0.1,370,5.16,51.6,40.3,17.95,-12.86,-0.46,-7.04,0.88,-0.03,30.0,107.0,-30.6,-5.2,-37.8,-2.0,-28.4,next_open|br>40|hold40
2018-01-01,2026-09-09,8.69,1360707,36.1,3.61,-36.9,0.1,0.29,518,4.21,42.1,33.0,19.19,-7.75,1.14,-4.33,1.12,0.07,17.5,549.7,-30.6,-0.8,-30.4,9.4,-25.1,next_open|br>40|ema21
2018-01-01,2026-09-09,8.69,1878028,87.8,7.52,-31.47,0.24,0.49,330,5.27,52.7,35.2,27.81,-10.21,3.15,-6.0,1.33,0.21,34.3,462.0,-16.2,0.8,-30.5,16.5,-29.8,next_open|br>40|sma50
2018-01-01,2026-09-09,8.69,830595,-16.9,-2.11,-43.75,-0.05,-0.04,423,4.94,49.4,33.3,19.55,-9.66,0.08,-6.8,0.93,0.0,25.1,402.4,-17.5,-7.0,-33.6,4.5,-43.7,next_open|br>40|trail15
2018-01-01,2026-09-09,8.69,1648393,64.8,5.92,-37.77,0.16,0.42,252,5.7,57.0,36.1,30.81,-12.15,3.37,-8.56,1.32,0.22,48.5,551.2,-16.9,-3.4,-34.2,19.3,-28.4,next_open|br>40|trail20
2018-01-01,2026-09-09,8.69,1500961,50.1,4.79,-50.39,0.09,0.33,497,6.91,69.1,32.0,24.9,-9.04,1.82,-4.91,1.16,0.12,29.8,587.5,-27.1,-2.8,-50.4,15.5,-34.3,limit_close|none|state(wcmo>21)
2018-01-01,2026-09-09,8.69,833761,-16.6,-2.07,-46.95,-0.04,-0.01,707,5.84,58.4,43.8,12.63,-9.85,0.01,-2.03,0.95,0.0,17.7,108.6,-27.1,-9.8,-43.1,9.4,-30.2,limit_close|none|hold20
2018-01-01,2026-09-09,8.69,586604,-41.3,-5.96,-56.56,-0.11,-0.18,505,7.26,72.6,39.6,16.89,-12.18,-0.67,-5.28,0.83,-0.04,30.9,111.2,-27.1,-12.3,-50.5,2.8,-41.5,limit_close|none|hold40
2018-01-01,2026-09-09,8.69,1380962,38.1,3.79,-37.75,0.1,0.29,707,5.51,55.1,31.8,17.14,-6.73,0.87,-3.66,1.11,0.06,16.7,569.4,-19.4,-4.3,-37.8,15.6,-27.7,limit_close|none|ema21
2018-01-01,2026-09-09,8.69,1474371,47.4,4.57,-42.09,0.11,0.32,471,7.24,72.4,33.1,23.19,-9.17,1.55,-4.93,1.14,0.1,33.0,248.0,-27.1,4.7,-42.1,4.0,-40.1,limit_close|none|sma50
2018-01-01,2026-09-09,8.69,799269,-20.1,-2.55,-47.64,-0.05,-0.04,529,7.38,73.8,30.8,20.6,-8.82,0.24,-6.17,0.93,0.02,29.9,417.6,-19.4,-6.5,-37.9,3.0,-47.6,limit_close|none|trail15
2018-01-01,2026-09-09,8.69,1396831,39.7,3.92,-41.52,0.09,0.29,323,8.12,81.2,34.1,30.18,-12.12,2.28,-9.17,1.14,0.15,54.0,242.9,-27.1,2.3,-41.5,5.8,-39.2,limit_close|none|trail20
2018-01-01,2026-09-09,8.69,1779662,78.0,6.86,-31.67,0.22,0.45,354,5.23,52.3,33.3,28.16,-9.28,3.2,-5.05,1.31,0.21,31.7,587.5,-18.7,-0.3,-31.7,16.9,-26.0,limit_close|br>40|state(wcmo>21)
2018-01-01,2026-09-09,8.69,879220,-12.1,-1.47,-40.49,-0.04,0.0,539,4.45,44.5,43.4,12.85,-9.75,0.06,-2.1,0.95,0.0,17.7,104.6,-18.9,-7.5,-34.7,7.3,-28.7,limit_close|br>40|hold20
2018-01-01,2026-09-09,8.69,668321,-33.2,-4.53,-51.51,-0.09,-0.15,377,5.35,53.5,39.8,17.53,-12.57,-0.59,-6.56,0.84,-0.04,30.5,111.2,-19.6,-10.4,-45.0,3.5,-35.1,limit_close|br>40|hold40
2018-01-01,2026-09-09,8.69,1425086,42.5,4.16,-29.64,0.14,0.33,535,4.23,42.3,33.8,16.8,-6.85,1.15,-3.68,1.16,0.07,17.0,569.4,-18.7,-2.8,-29.6,14.1,-27.5,limit_close|br>40|ema21
2018-01-01,2026-09-09,8.69,1738397,73.8,6.57,-35.89,0.18,0.44,343,5.32,53.2,32.9,26.66,-9.38,2.5,-5.6,1.28,0.16,33.3,479.0,-18.7,1.8,-27.9,12.9,-35.9,limit_close|br>40|sma50
2018-01-01,2026-09-09,8.69,869168,-13.1,-1.6,-42.04,-0.04,-0.01,416,5.22,52.2,31.5,19.62,-8.85,0.12,-6.23,0.94,0.01,26.9,417.6,-16.1,-7.7,-36.6,7.3,-41.6,limit_close|br>40|trail15
2018-01-01,2026-09-09,8.69,1839810,84.0,7.27,-38.74,0.19,0.48,250,5.87,58.7,34.8,36.54,-12.31,4.69,-9.75,1.37,0.31,50.4,570.9,-18.4,-3.4,-32.4,23.1,-32.4,limit_close|br>40|trail20
2018-01-01,2026-09-09,8.69,1172164,17.2,1.85,-39.51,0.05,0.19,513,6.78,67.8,28.8,23.72,-8.5,0.8,-7.83,1.05,0.08,28.4,204.7,-20.7,-0.4,-39.5,4.4,-39.3,next_open|none|sma50|stop10
2018-01-01,2026-09-09,8.69,1428875,42.9,4.19,-42.81,0.1,0.29,319,5.3,53.0,27.6,33.27,-9.6,2.23,-10.45,1.19,0.22,35.7,551.2,-17.5,-4.3,-39.4,16.4,-35.3,next_open|br>40|trail20|stop10
2018-01-01,2026-09-09,8.69,2582443,158.2,11.54,-43.58,0.26,0.61,423,7.28,72.8,34.3,28.5,-9.66,3.42,-4.87,1.39,0.17,37.0,462.0,-27.6,5.4,-43.6,19.7,-30.3,next_open|none|sma50|stop20
2018-01-01,2026-09-09,8.69,1486209,48.6,4.67,-38.62,0.12,0.35,225,5.84,58.4,36.0,32.77,-12.87,3.56,-8.19,1.25,0.18,55.7,551.2,-20.8,-3.1,-35.2,15.4,-35.2,next_open|br>40|trail20|stop20
2018-01-01,2026-09-09,8.69,2658345,165.8,11.91,-44.52,0.27,0.63,420,7.32,73.2,34.8,28.82,-9.75,3.66,-4.85,1.41,0.12,37.4,462.0,-30.5,5.7,-44.5,20.1,-29.1,next_open|none|sma50|stop30
2018-01-01,2026-09-09,8.69,1486209,48.6,4.67,-38.62,0.12,0.35,225,5.84,58.4,36.0,32.77,-12.87,3.56,-8.19,1.25,0.12,55.7,551.2,-20.8,-3.1,-35.2,15.4,-35.2,next_open|br>40|trail20|stop30
