"Date","Symbol","Marketcapname","Sector"
"21-01-2026","HINDZINC","Largecap","Metals & Mining"
"21-01-2026","ONIDA","Smallcap","Consumer Discretionary"
"21-01-2026","VEDL","Largecap","Metals & Mining"
"21-01-2026","RAIN","Midcap","Miscellaneous"
"21-01-2026","JINDALSAW","Largecap","Industrials"
"21-01-2026","FEDERALBNK","Largecap","Bank"
"21-01-2026","ASHOKLEY","Largecap","Auto"
"21-01-2026","SANDUMA","Midcap","Metals & Mining"
"21-01-2026","IFBAGRO","Smallcap","FMCG"
"21-01-2026","GMBREW","Smallcap","FMCG"
"21-01-2026","AUSOMENT","Smallcap","Consumer Discretionary"
"21-01-2026","SHRIRAMFIN","Largecap","Financials"
"21-01-2026","BHAGYANGR","Smallcap","Power & Utilities"
"21-01-2026","HINDCOPPER","Largecap","Metals & Mining"
"21-01-2026","RAJRATAN","Smallcap","Metals & Mining"
"21-01-2026","DREDGECORP","Smallcap","Miscellaneous"
"21-01-2026","CUBEXTUB","Smallcap","Metals & Mining"
"21-01-2026","VENUSREM","Smallcap","Healthcare"
"21-01-2026","JKTYRE","Midcap","Auto"
"21-01-2026","ANTELOPUS","Smallcap","Energy"
"21-01-2026","CUPID","Largecap","FMCG"
"21-01-2026","AQYLON","Smallcap","Media"
"21-01-2026","GRMOVER","Smallcap","FMCG"
"21-01-2026","BANKINDIA","Largecap","Bank"
"21-01-2026","CUB","Largecap","Bank"
"21-01-2026","SOUTHBANK","Midcap","Bank"
"21-01-2026","NATIONALUM","Largecap","Metals & Mining"
"21-01-2026","UNIONBANK","Largecap","Bank"
"21-01-2026","CANBK","Largecap","Bank"
"21-01-2026","SALSTEEL","Smallcap","Metals & Mining"
"21-01-2026","IIFL","Largecap","Financials"
"21-01-2026","MANGALAM","Smallcap","Healthcare"
"21-01-2026","M&MFIN","Largecap","Financials"
"21-01-2026","DCBBANK","Midcap","Bank"
"21-01-2026","TAKE","Smallcap","Healthcare"
"21-01-2026","MAANALU","Smallcap","Metals & Mining"
"21-01-2026","BGRENERGY","Smallcap","Realty"
"21-01-2026","THANGAMAYL","Midcap","Consumer Discretionary"
"21-01-2026","WAAREEINDO","Smallcap","Industrials"
"21-01-2026","MUTHOOTFIN","Largecap","Financials"
"21-01-2026","INDOTHAI","Smallcap","Financials"
"21-01-2026","MCX","Largecap","Financials"
"21-01-2026","JTLIND","Smallcap","Metals & Mining"
"21-01-2026","RNBDENIMS","Smallcap","Textiles"
"21-01-2026","MANAKALUCO","Smallcap","Metals & Mining"
"21-01-2026","ARFIN","Smallcap","Metals & Mining"
"21-01-2026","PSUBANK","Smallcap","Indices"
"21-01-2026","GOLDBEES","Smallcap","Indices"
"21-01-2026","GOLDBETA","Smallcap","Indices"
"21-01-2026","BSLGOLDETF","Smallcap","Indices"
"21-01-2026","AUBANK","Largecap","Bank"
"21-01-2026","INFOBEAN","Smallcap","I.T"
"21-01-2026","MCL","Smallcap","Metals & Mining"
"21-01-2026","RMDRIP","Smallcap","Plastic products"
"21-01-2026","SILVERTUC","Smallcap","I.T"
"21-01-2026","SOUTHWEST","Smallcap","Metals & Mining"
"21-01-2026","SETFGOLD","Smallcap","Indices"
"21-01-2026","GOLD1","Smallcap","Indices"
"21-01-2026","QGOLDHALF","Smallcap","Indices"
"21-01-2026","GOLDAXIS","Smallcap","Indices"
"21-01-2026","HDFCGOLD","Smallcap","Indices"
"21-01-2026","GOLDIETF","Smallcap","Indices"
"21-01-2026","IVZINGOLD","Smallcap","Indices"
"21-01-2026","CSBBANK","Midcap","Bank"
"21-01-2026","AAATECH","Smallcap","I.T"
"21-01-2026","MTARTECH","Largecap","Aerospace & Defence"
"21-01-2026","KMEW","Midcap","Transportation"
"21-01-2026","TATVA","Smallcap","Chemicals"
"21-01-2026","SILVERIETF","Smallcap","Indices"
"21-01-2026","SILVER","Smallcap","Indices"
"21-01-2026","SILVERBEES","Smallcap","Indices"
"21-01-2026","HDFCSILVER","Smallcap","Indices"
"21-01-2026","SILVERAXIS","Smallcap","Indices"
"21-01-2026","SILVER1","Smallcap","Indices"
"21-01-2026","GOLDETF","Smallcap","Indices"
"21-01-2026","PSUBNKIETF","Smallcap","Indices"
"21-01-2026","SILVERBETA","Smallcap","Indices"
"21-01-2026","GOLDADD","Smallcap","Indices"
"21-01-2026","SILVERAG","Smallcap","Indices"
"21-01-2026","EGOLD","Smallcap","Indices"
"21-01-2026","ESILVER","Smallcap","Indices"
"21-01-2026","BBNPPGOLD","Smallcap","Indices"
"21-01-2026","TATSILV","Smallcap","Indices"
"21-01-2026","SILVERADD","Smallcap",""
"21-01-2026","SBISILVER","Smallcap","Indices"
"21-01-2026","STYLEBAAZA","Smallcap","Consumer Discretionary"
"21-01-2026","GOLD360","Smallcap","Indices"
"21-01-2026","SILVERCASE","Smallcap","Indices"
"21-01-2026","SILVER360","Smallcap","Indices"
"21-01-2026","GROWWSLVR","Smallcap","Indices"
