"Sr.","Stock Name","Symbol","close","%_change","volume","Add Column"
1,"Raymond Limited","RAYMOND","999.55","17.06%","1,47,65,044",""
2,"Pine Labs Ltd","PINELABS","197.67","14.15%","22,53,74,329",""
3,"RACL Geartech Ltd","RACLGEAR","1,786.5","12.49%","9,99,314",""
4,"Filatex India Limited","FILATEX","85.12","11.63%","3,02,80,432",""
5,"Sms Pharmaceuticals Limited","SMSPHARMA","463.4","11.01%","92,90,989",""
6,"Digjam Ltd","DIGJAMLMTD","68.5","10.77%","12,10,183",""
7,"HLE Glascoat Ltd","HLEGLAS","404.35","10%","8,55,274",""
8,"Quadrant Future Tek Ltd","QUADFUTURE","478.4","9.78%","98,57,268",""
9,"The Ugar Sugar Works Limited","UGARSUGAR","54.7","9.58%","1,08,31,107",""
10,"Motilal Oswal Nasdaq Q 50 ETF","MONQ50","214.46","7.29%","7,12,898",""
11,"Texmo Pipes And Products Limited","TEXMOPIPES","60.4","7.02%","9,81,968",""
12,"Kwality Walls India Ltd","KWIL","43.68","5.18%","3,71,41,184",""
13,"Sterlite Technologies Limited","STLTECH","897.45","5%","21,66,828",""
14,"Tribhovandas Bhimji Zaveri Limited","TBZ","526.3","5%","27,13,982",""
15,"Sigma Advanced System Ltd","SIGMAADV","832.45","4.99%","3,56,694",""
16,"Standard Enginnering Technology Ltd","SETL","468.15","4.99%","28,94,626",""
17,"Birla Cable Limited","BIRLACABLE","393.35","4.99%","9,03,407",""
18,"Diamond Power Infrastructure Ltd","DIACABS","369.05","4.99%","12,71,087",""
19,"California Software Company Limited","CALSOFT","38.74","4.99%","3,24,263",""
20,"STL Networks Ltd","STLNETWORK","36.6","4.99%","54,90,190",""
21,"Raghav Productivity Enhancers Ltd","RPEL","1,827.1","4.8%","1,34,824",""
22,"Bhageria Industries Limited","BHAGERIA","317.5","4.75%","3,72,364",""
23,"Menon Pistons Ltd","MENNPIS","79.99","4.69%","75,991",""
24,"One 97 Communications Ltd","PAYTM","1,818","4.54%","81,70,395",""
25,"Indo Rama Synthetics (india) Limited","INDORAMA","86.44","4.23%","14,90,939",""
26,"Sakar Healthcare Ltd","SAKAR","1,163.1","4.1%","1,52,319",""
27,"Akums Drugs & Pharmaceuticals Ltd","AKUMS","779.95","4.04%","3,15,331",""
28,"MMP Industries Ltd","MMP","465.85","4.03%","61,772",""
29,"Exicom Tele-Systems Ltd","EXICOM","183.24","3.68%","12,83,439",""
30,"Savita Oil Technologies Limited","SOTL","722.55","3.65%","4,09,275",""
31,"Birla Precision Technologies Ltd","BIRLAPREC","61.42","3.58%","2,33,343",""
32,"Aegis Logistics Ltd","AEGISLOG","1,354.1","3.56%","10,84,552",""
33,"Solara Active Pharma Sciences Ltd","SOLARA","732.3","3.54%","7,10,353",""
