,is_n,is_a_r10,is_a_r20,is_a_r60,is_c_r20,is_a_state_exit,is_hold,oos_n,oos_a_r10,oos_a_r20,oos_a_r60,oos_c_r20,oos_a_state_exit,oos_hold
ALL,10834.0,0.42,1.07,4.13,1.11,0.71,10.8,10344.0,0.38,1.6,5.5,1.75,0.93,12.0
trig=r5 only,3159.0,0.11,-0.31,3.82,-0.08,-0.1,4.6,3074.0,0.4,2.36,6.14,2.58,0.18,5.9
trig=r30/r90 only,6294.0,0.93,2.22,4.78,2.18,1.29,11.2,6218.0,0.55,1.4,5.49,1.45,0.86,11.7
trig=both,1381.0,-1.2,-1.0,1.86,-1.27,-0.09,23.1,1052.0,-0.84,0.45,3.33,1.08,3.62,31.7
above200,6707.0,0.41,1.08,3.62,1.02,0.76,12.9,7076.0,0.65,1.87,6.23,1.96,1.57,13.7
below200,4127.0,0.42,1.07,4.94,1.26,0.63,7.4,3268.0,-0.21,0.99,3.88,1.28,-0.45,8.2
nh20,4659.0,-0.14,0.35,3.25,0.3,0.57,14.2,4612.0,0.5,1.55,5.53,1.75,1.44,16.7
nh250,1132.0,0.59,1.49,4.56,0.96,1.77,22.7,1384.0,0.66,2.12,7.35,2.28,4.91,24.5
not nh20,6175.0,0.84,1.62,4.79,1.71,0.82,8.2,5732.0,0.29,1.64,5.48,1.75,0.52,8.2
tsma>=2cr,7623.0,0.78,1.4,4.29,1.41,1.08,10.8,8789.0,0.59,1.86,5.92,1.97,1.34,11.4
tsma<1cr,1876.0,-0.56,-0.01,3.71,0.23,-0.51,10.8,880.0,-1.68,-1.43,0.98,-0.92,-2.47,15.0
tsma>=5cr,5653.0,0.6,1.33,4.04,1.34,0.93,10.5,7392.0,0.57,1.69,5.77,1.75,1.53,11.1
ret5<15,6435.0,0.96,2.13,4.91,2.11,1.08,10.0,6395.0,0.54,1.67,5.79,1.75,0.9,10.5
ret5>=25,1029.0,-1.84,-2.31,1.16,-2.66,-1.45,17.9,767.0,-0.71,0.32,1.25,0.42,4.84,27.5
ret20<30,9489.0,0.63,1.32,4.24,1.37,0.91,9.1,9395.0,0.42,1.67,5.49,1.83,0.53,10.0
ret20>=50,265.0,-2.25,-3.11,-1.16,-4.91,-2.23,30.9,119.0,-1.55,-2.42,5.66,-1.95,41.98,55.2
chg<=5,6448.0,0.96,1.79,4.64,1.71,1.16,9.2,6429.0,0.43,1.81,5.97,1.87,0.66,9.2
chg>10,1873.0,-1.55,-1.28,1.51,-1.09,-0.46,15.8,1617.0,-0.42,0.28,2.38,0.71,1.45,20.7
adr<=6,8125.0,0.69,1.45,3.74,1.38,1.18,10.8,8815.0,0.59,1.86,5.96,1.99,1.41,11.3
adr>8,849.0,0.93,0.59,10.83,1.59,-1.37,8.5,211.0,-2.62,-3.48,-3.18,-4.05,-5.15,19.3
breadth>40,6479.0,0.92,1.54,3.85,1.4,1.24,13.0,7398.0,0.24,1.32,4.83,1.41,1.09,13.5
breadth<=40,4355.0,-0.34,0.37,4.54,0.69,-0.07,7.4,2946.0,0.72,2.3,6.99,2.56,0.53,8.1
off_hi250>-10,3203.0,0.82,1.24,4.41,1.09,1.45,16.1,3863.0,1.26,2.63,7.65,2.71,2.73,16.9
off_hi250<-30,2919.0,0.29,0.5,3.78,0.78,-0.04,5.6,1737.0,-0.22,1.41,4.92,1.77,-0.36,5.2
"COMBO: above200, nh20, tsma>=2cr, ret20<30, chg<=10",1463.0,0.79,1.42,4.05,1.52,1.42,12.2,1933.0,0.89,2.03,7.18,2.19,1.31,13.5
"COMBO2: above200, nh250, tsma>=2cr",897.0,0.78,1.49,4.6,1.5,2.01,21.0,1237.0,0.82,2.28,7.48,2.38,5.65,22.9
"COMBO3: r30/r90 trig, above200, tsma>=2cr, adr<=6",3734.0,1.05,1.67,4.04,1.56,1.44,12.9,4770.0,0.79,1.89,6.22,2.0,2.48,13.6
