,1,2,3,4,5,6,7,8,9,10,11,12
2017,,,,,,,,,,,3.0,5.7
2018,-3.7,-2.4,-4.9,8.6,-6.2,-5.9,7.7,3.6,-14.6,-3.9,-4.5,-1.7
2019,-3.5,-2.9,9.9,-0.2,2.9,-0.4,-8.1,0.5,-2.4,-4.4,-7.1,1.3
2020,6.3,-0.1,-13.0,0.2,-1.2,6.3,9.4,8.1,9.8,2.4,30.1,5.4
2021,0.6,7.5,-0.1,-1.2,4.4,12.1,10.6,-0.0,-0.5,1.2,-5.4,5.1
2022,1.0,-9.5,11.2,-0.9,-9.8,-3.5,11.6,7.7,-3.8,3.3,-1.3,1.8
2023,-2.9,-6.3,-3.7,5.4,6.8,10.7,7.5,4.4,0.1,-4.7,8.2,6.6
2024,6.4,1.6,-6.7,10.1,-2.4,0.4,0.4,8.5,3.3,-0.2,4.3,-5.3
2025,-9.1,-3.6,6.0,-2.1,7.1,3.4,-1.0,-3.4,0.7,5.9,1.6,6.8
2026,-3.2,-4.3,-4.4,10.2,2.8,0.4,1.1,1.3,-0.4,,,
