symbol,entry_date,exit_date,entry,exit,qty,pnl,ret_pct,r_mult,hold,reason
SCI,2017-10-25,2017-11-01,59.09897899999999,55.45,1700,-6438.926799999972,-6.408916133728781,-0.42089263682024236,5,sma_close
AUROPHARMA,2017-10-18,2017-11-13,770.2708749999999,750.0,129,-2856.8178749999934,-2.8750762515848662,-0.1889888175011491,16,sma_close
ABREL,2017-10-27,2017-11-15,1353.375,1287.1,73,-5072.970750000008,-5.134774175671939,-0.337548269581057,13,sma_close
RAMCOSYS,2017-10-25,2017-11-16,416.989875,397.85,240,-4832.279999999984,-4.828534505783848,-0.3173792508260766,16,sma_close
JSWENERGY,2017-10-18,2017-11-23,82.455625,78.95,1210,-4480.62999999999,-4.490900408553076,-0.29516265630448796,24,sma_close
CGCL,2017-11-17,2017-11-30,30.730635,28.55,3099,-6978.978990000003,-7.328224750318374,-0.48113343595473723,9,sma_close
SUNDRMFAST,2017-10-24,2017-12-08,526.3125,488.9,190,-7340.602499999994,-7.340648379052363,-0.48255737704917995,33,sma_close
NBCC,2017-10-25,2017-12-13,88.14451174999999,83.92,1139,-5050.681083249976,-5.0307292671571,-0.33056080106679864,35,sma_close
PRESTIGE,2017-11-30,2017-12-13,319.79749999999996,300.0,276,-5671.109999999986,-6.425159671354515,-0.42237525052674774,9,sma_close
TORNTPOWER,2017-10-18,2017-12-14,243.6075,258.9,409,5989.907250000004,6.011822296111577,0.3952034001214334,39,sma_close
COFORGE,2017-11-01,2017-12-14,132.33110275,124.0,730,-6308.005007500004,-6.5299106335755255,-0.42924140109512887,31,sma_close
MOTILALOFS,2017-12-14,2017-12-15,348.3825845,336.51,294,-3737.874693000005,-3.649395826788241,-0.23987244433335164,1,sma_close
RICOAUTO,2017-12-15,2017-12-19,99.397875,96.85,1033,-2882.070000000007,-2.8069010529651734,-0.18442775340224626,2,sma_close
TVSMOTOR,2017-10-16,2018-01-16,704.65725,739.2,141,4609.959750000009,4.6398089283832755,0.30499616361427256,63,sma_close
SKIPPER,2017-11-23,2018-01-17,271.69283825,259.91,350,-4351.414637499998,-4.57598121837869,-0.3007926330827279,38,sma_close
PRESTIGE,2018-01-17,2018-01-19,338.69462500000003,311.9,268,-7389.93250000001,-8.141367758640998,-0.5351688634318061,2,sma_close
