start,end,years,final_equity,total_return_pct,cagr_pct,max_dd_pct,calmar,sharpe,trades,avg_open_positions,exposure_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_ret_pct,median_ret_pct,profit_factor,avg_r,avg_hold,best_pct,worst_pct,is_cagr,is_dd,oos_cagr,oos_dd,label
2017-10-16,2026-09-09,8.9,3902992,290.6,16.55,-39.18,0.42,0.88,660,8.78,87.8,33.5,21.81,-6.5,2.98,-3.14,1.6,0.24,29.3,666.9,-24.9,11.9,-39.2,23.1,-20.6,BASE next_open sma50x 10 slots
2017-10-16,2026-09-09,8.9,2341951,134.4,10.04,-31.88,0.32,0.58,735,8.65,86.5,31.3,19.39,-6.14,1.85,-3.87,1.28,0.22,25.9,666.9,-20.7,12.0,-31.9,7.0,-25.7,  stop_pct=8
2017-10-16,2026-09-09,8.9,2758153,176.0,12.09,-37.89,0.32,0.69,694,8.74,87.4,32.0,21.34,-6.56,2.37,-3.68,1.35,0.23,27.7,666.9,-21.0,11.4,-37.9,12.6,-28.9,  stop_pct=10
2017-10-16,2026-09-09,8.9,4515814,351.9,18.47,-39.08,0.47,0.96,635,8.83,88.3,35.3,21.69,-6.63,3.36,-2.81,1.71,0.22,30.6,666.9,-24.9,13.2,-39.1,26.0,-16.6,  stop_pct=15
2017-10-16,2026-09-09,8.9,5040506,404.4,19.94,-36.58,0.55,1.03,630,8.8,88.0,35.9,21.29,-6.43,3.51,-2.67,1.78,0.17,30.7,666.9,-24.9,15.8,-36.6,25.6,-18.2,  stop_pct=20
2017-10-16,2026-09-09,8.9,3013626,201.5,13.2,-37.37,0.35,0.79,952,12.79,85.3,34.2,20.68,-6.65,2.71,-3.08,1.45,0.22,29.6,666.9,-24.9,9.0,-37.4,19.0,-22.3,  max_positions=15
2017-10-16,2026-09-09,8.9,3071354,207.2,13.44,-37.32,0.36,0.83,1215,16.5,82.5,34.3,20.74,-6.75,2.69,-3.08,1.48,0.22,29.9,666.9,-29.4,8.5,-37.3,20.4,-23.7,  max_positions=20
2017-10-16,2026-09-09,8.9,3579369,258.2,15.42,-40.35,0.38,0.83,666,8.8,88.0,33.6,20.92,-6.45,2.76,-3.06,1.56,0.23,29.1,666.9,-24.9,10.2,-40.4,22.8,-21.0,  max_new_per_day=5
2017-10-16,2026-09-09,8.9,3286636,228.9,14.32,-42.45,0.34,0.78,660,8.77,87.7,32.7,21.95,-6.71,2.67,-3.43,1.51,0.22,29.2,664.6,-25.1,9.4,-42.5,21.2,-21.5,  cost_bps_side=40
2017-10-16,2026-09-09,8.9,2594926,159.8,11.32,-46.54,0.24,0.65,660,8.77,87.7,32.3,21.77,-7.04,2.26,-3.81,1.39,0.18,29.2,661.6,-25.4,6.4,-46.5,18.4,-22.5,  cost_bps_side=60
2017-10-16,2026-09-09,8.9,2960715,196.3,12.98,-42.69,0.3,0.72,681,8.68,86.8,34.8,19.73,-6.74,2.47,-3.33,1.45,0.2,28.0,666.9,-24.9,10.3,-42.7,16.2,-26.6,  rank=none
2017-10-16,2026-09-09,8.9,3734424,273.7,15.97,-35.8,0.45,0.84,658,8.74,87.4,35.3,21.98,-7.08,3.17,-3.37,1.46,0.26,29.2,666.9,-47.6,17.4,-35.8,13.4,-33.0,  rank=rvol
2017-10-16,2026-09-09,8.9,3145888,214.8,13.76,-33.93,0.41,0.74,680,8.75,87.5,33.8,21.29,-6.84,2.68,-3.26,1.36,0.22,28.3,666.9,-24.9,15.4,-33.9,10.7,-32.4,  rank=change
2017-10-16,2026-09-09,8.9,1317509,31.8,3.16,-40.63,0.08,0.27,1296,7.89,78.9,34.6,10.61,-5.02,0.38,-2.43,1.07,0.03,13.4,213.3,-29.4,1.9,-40.6,4.6,-39.2,  exit_close_below_sma=20
2017-10-16,2026-09-09,8.9,3902992,290.6,16.55,-39.18,0.42,0.88,660,8.78,87.8,33.5,21.81,-6.5,2.98,-3.14,1.6,0.24,29.3,666.9,-24.9,11.9,-39.2,23.1,-20.6,  max_weight_pct=10
2017-10-16,2026-09-09,8.9,3046770,204.9,13.35,-36.2,0.37,0.74,685,8.73,87.3,34.6,19.71,-6.66,2.47,-3.24,1.39,0.2,28.0,666.9,-24.9,13.7,-36.2,12.1,-29.9,  rank=ret90 (strongest first)
2017-10-16,2026-09-09,8.9,4653624,365.7,18.87,-38.36,0.49,0.96,677,8.76,87.6,34.3,22.56,-6.49,3.46,-2.87,1.72,0.28,28.5,666.9,-24.9,9.4,-38.4,33.2,-24.3,  rank=ret90 weakest first
2017-10-16,2026-09-09,8.9,3590318,259.3,15.46,-36.93,0.42,0.83,637,8.83,88.3,35.9,20.35,-6.9,2.9,-2.85,1.51,0.24,30.5,666.9,-24.9,13.2,-36.9,18.0,-27.4,  rank=closest to 52w high
2017-10-16,2026-09-09,8.9,2688570,169.0,11.76,-38.45,0.31,0.68,667,8.78,87.8,33.9,18.59,-6.53,1.98,-2.9,1.48,0.16,29.0,148.4,-25.4,3.3,-38.5,24.6,-21.9,  sma50x + trail25
2017-10-16,2026-09-09,8.9,2184164,118.6,9.19,-39.69,0.23,0.57,682,8.73,87.3,33.9,17.94,-6.55,1.74,-3.14,1.31,0.14,28.2,148.4,-25.4,4.8,-39.7,15.3,-24.2,  sma50x + trail20
2017-10-16,2026-09-09,8.9,4081791,308.5,17.13,-38.75,0.44,0.91,662,8.77,87.7,32.2,22.75,-6.32,3.03,-2.85,1.62,0.25,29.1,666.9,-25.4,12.9,-38.7,23.0,-21.7,  sma50x + breakeven 1R
2017-10-16,2026-09-09,8.9,1693846,69.5,6.11,-38.25,0.16,0.43,1144,8.03,80.3,33.6,12.07,-5.04,0.71,-2.46,1.14,0.06,15.4,152.4,-29.4,3.7,-32.7,9.3,-38.3,  ema21x instead
2017-10-16,2026-09-09,8.9,3348194,235.1,14.56,-39.18,0.37,0.8,671,8.78,87.8,33.5,21.08,-6.51,2.74,-3.18,1.52,0.22,28.8,691.4,-24.9,9.1,-39.2,22.4,-22.6,  sma50x + max_hold 120
2017-10-16,2026-09-09,8.9,1772018,77.3,6.65,-45.32,0.15,0.46,568,7.53,75.3,31.7,18.62,-6.37,1.55,-3.35,1.27,0.13,29.1,171.2,-21.0,-0.0,-40.6,16.5,-15.9,  gate breadth>30
2017-10-16,2026-09-09,8.9,2735419,173.7,11.98,-41.63,0.29,0.73,529,6.83,68.3,33.8,21.31,-6.57,2.86,-3.33,1.5,0.23,28.4,666.9,-21.0,5.7,-38.9,21.2,-13.5,  gate breadth>35
2017-10-16,2026-09-09,8.9,3406955,240.9,14.78,-37.02,0.4,0.9,464,6.52,65.2,35.3,22.79,-6.51,3.84,-2.82,1.64,0.31,30.9,666.9,-21.0,13.1,-37.0,16.9,-24.2,  gate breadth>40
2017-10-16,2026-09-09,8.9,1572902,57.4,5.23,-44.15,0.12,0.41,403,5.25,52.5,31.3,20.56,-6.58,1.9,-3.69,1.28,0.16,28.6,179.4,-14.3,-1.4,-40.9,15.0,-22.5,  gate breadth>50
2017-10-16,2026-09-09,8.9,2386215,138.7,10.27,-33.43,0.31,0.62,713,8.96,89.6,36.2,14.69,-5.88,1.56,-2.36,1.39,0.13,27.6,159.8,-24.8,5.4,-33.4,16.9,-27.6,  entry=limit_close
2017-10-16,2026-09-09,8.9,3902992,290.6,16.55,-39.18,0.42,0.88,660,8.78,87.8,33.5,21.81,-6.5,2.98,-3.14,1.6,0.24,29.3,666.9,-24.9,11.9,-39.2,23.1,-20.6,  drop None (n=6587)
2017-10-16,2026-09-09,8.9,3661621,266.4,15.71,-40.37,0.39,0.83,672,8.83,88.3,33.6,21.39,-6.52,2.87,-3.24,1.52,0.23,28.9,666.9,-24.9,12.6,-40.4,19.8,-21.2,  drop trig30_90 (n=6830)
