"Date","Symbol","Marketcapname","Sector"
"21-01-2026","SHRIRAMFIN","Largecap","Financials"
"21-01-2026","BHAGYANGR","Smallcap","Power & Utilities"
"21-01-2026","STYLAMIND","Midcap","Building Materials"
"21-01-2026","JKTYRE","Midcap","Auto"
"21-01-2026","CUB","Largecap","Bank"
"21-01-2026","SALSTEEL","Smallcap","Metals & Mining"
"21-01-2026","BGRENERGY","Smallcap","Realty"
"21-01-2026","ARFIN","Smallcap","Metals & Mining"
"21-01-2026","GLOBAL","Smallcap","Services"
"21-01-2026","SCPL","Smallcap","FMCG"
"21-01-2026","SOUTHWEST","Smallcap","Metals & Mining"
"21-01-2026","AETHER","Largecap","Chemicals"
"21-01-2026","TMB","Midcap","Bank"
"22-01-2026","SHRIRAMFIN","Largecap","Financials"
"22-01-2026","BHAGYANGR","Smallcap","Power & Utilities"
"22-01-2026","STYLAMIND","Midcap","Building Materials"
"22-01-2026","JKTYRE","Midcap","Auto"
"22-01-2026","CUB","Largecap","Bank"
"22-01-2026","SALSTEEL","Smallcap","Metals & Mining"
"22-01-2026","BGRENERGY","Smallcap","Realty"
"22-01-2026","ARFIN","Smallcap","Metals & Mining"
"22-01-2026","GLOBAL","Smallcap","Services"
"22-01-2026","SCPL","Smallcap","FMCG"
"22-01-2026","SOUTHWEST","Smallcap","Metals & Mining"
"22-01-2026","AETHER","Largecap","Chemicals"
"22-01-2026","TMB","Midcap","Bank"
"23-01-2026","SHRIRAMFIN","Largecap","Financials"
"23-01-2026","BHAGYANGR","Smallcap","Power & Utilities"
"23-01-2026","STYLAMIND","Midcap","Building Materials"
"23-01-2026","JKTYRE","Midcap","Auto"
"23-01-2026","CUB","Largecap","Bank"
"23-01-2026","SALSTEEL","Smallcap","Metals & Mining"
"23-01-2026","BGRENERGY","Smallcap","Realty"
"23-01-2026","ARFIN","Smallcap","Metals & Mining"
"23-01-2026","GLOBAL","Smallcap","Services"
"23-01-2026","SCPL","Smallcap","FMCG"
"23-01-2026","SOUTHWEST","Smallcap","Metals & Mining"
"23-01-2026","AETHER","Largecap","Chemicals"
"23-01-2026","TMB","Midcap","Bank"
"27-01-2026","SHRIRAMFIN","Largecap","Financials"
"27-01-2026","STYLAMIND","Midcap","Building Materials"
"27-01-2026","JKTYRE","Midcap","Auto"
"27-01-2026","M&MFIN","Largecap","Financials"
"27-01-2026","BGRENERGY","Smallcap","Realty"
"28-01-2026","SHRIRAMFIN","Largecap","Financials"
"28-01-2026","STYLAMIND","Midcap","Building Materials"
"28-01-2026","JKTYRE","Midcap","Auto"
"28-01-2026","M&MFIN","Largecap","Financials"
"28-01-2026","BGRENERGY","Smallcap","Realty"
"28-01-2026","SCPL","Smallcap","FMCG"
"29-01-2026","SHRIRAMFIN","Largecap","Financials"
"29-01-2026","STYLAMIND","Midcap","Building Materials"
"29-01-2026","JKTYRE","Midcap","Auto"
"29-01-2026","M&MFIN","Largecap","Financials"
"29-01-2026","BGRENERGY","Smallcap","Realty"
"29-01-2026","SCPL","Smallcap","FMCG"
"30-01-2026","SHRIRAMFIN","Largecap","Financials"
"30-01-2026","STYLAMIND","Midcap","Building Materials"
"30-01-2026","JKTYRE","Midcap","Auto"
"30-01-2026","M&MFIN","Largecap","Financials"
