"Sr.","Stock Name","Symbol","close","%_change","volume","Add Column"
1,"The Ugar Sugar Works Limited","UGARSUGAR","54.5","9.17%","1,08,76,445",""
2,"Akums Drugs & Pharmaceuticals Ltd","AKUMS","778.4","3.84%","3,24,770",""
3,"Pricol Ltd.","PRICOLLTD","761.75","2.99%","6,51,804",""
4,"Lumax Auto Technologies Limited","LUMAXTECH","1,995","2.7%","1,46,422",""
5,"PVR Inox Ltd","PVRINOX","1,249.7","2.33%","7,91,392",""
6,"Rashi Peripherals Ltd","RPTECH","822.3","1.97%","2,59,930",""
7,"Azad Engineering Ltd","AZAD","2,821.7","1.74%","3,38,486",""
8,"Cartrade Tech Ltd","CARTRADE","3,085","1.66%","2,43,111",""
9,"Devyani International Ltd","DEVYANI","138.05","1.57%","17,67,184",""
10,"Avalon Technologies Ltd","AVALON","2,258.3","1.41%","2,98,260",""
11,"Entero Healthcare Solutions Ltd","ENTERO","1,817.9","1.39%","80,874",""
12,"Prudent Corporate Advisory Services Ltd","PRUDENT","3,364.5","1.38%","17,176",""
13,"Optiemus Infracom Ltd","OPTIEMUS","565.25","1.36%","1,40,312",""
14,"Sheetal Cool Products Ltd","SCPL","649.5","0.94%","3,446",""
15,"Gabriel India Limited","GABRIEL","1,351.1","0.93%","97,609",""
16,"Cupid Limited","CUPID","280","0.92%","98,02,091",""
17,"Apar Industries Limited","APARINDS","17,498","0.9%","1,50,810",""
18,"Action Construction Equipment Limited","ACE","1,130.8","0.86%","2,64,139",""
19,"Bang Overseas Limited","BANG","34.79","0.81%","2,67,802",""
20,"Amagi Media Labs Ltd","AMAGI","576.25","0.73%","3,46,450",""
21,"Sapphire Foods India Ltd","SAPPHIRE","225.71","0.71%","4,67,883",""
22,"MSTC Ltd","MSTCLTD","742.25","0.64%","2,83,428",""
23,"ASK Automotive Ltd","ASKAUTOLTD","626.4","0.64%","1,14,768",""
24,"E2E Networks Ltd","E2E","609.45","0.59%","5,87,582",""
25,"TBO Tek Ltd","TBOTEK","1,678.8","0.43%","1,15,726",""
26,"Kddl Limited","KDDL","3,902.4","0.28%","14,411",""
27,"Signet Industries Ltd","SIGIND","71.2","0.11%","23,070",""
28,"Gna Axles Limited","GNA","554","0.01%","2,57,862",""
29,"Orbit Exports Limited","ORBTEXP","237.01","0%","433",""
30,"Shankara Building Products","SHANKARA","148.4","-0.01%","65,556",""
31,"Kamat Hotels (i) Limited","KAMATHOTEL","224.61","-0.03%","29,340",""
32,"Oriental Hotels Limited","ORIENTHOT","139.72","-0.06%","3,04,280",""
33,"Uniparts India Ltd","UNIPARTS","893","-0.1%","1,27,585",""
34,"Ipca Laboratories Limited","IPCALAB","1,968.7","-0.11%","1,30,542",""
35,"Lambodhara Textiles Limited","LAMBODHARA","137","-0.16%","3,042",""
36,"Eternal Ltd","ETERNAL","321.25","-0.26%","1,88,35,883",""
37,"KRN Heat Exchanger and Refrigeration Ltd","KRN","1,577.8","-0.43%","1,52,800",""
38,"Vimta Labs Limited","VIMTALABS","631.5","-0.54%","66,544",""
39,"Tvs Srichakra Limited","TVSSRICHAK","5,192.5","-0.57%","7,342",""
40,"Emami Paper Mills Ltd","EMAMIPAP","117.07","-0.57%","13,388",""
41,"Marksans Pharma Limited","MARKSANS","328.5","-0.58%","14,33,583",""
42,"Alivus Life Sciences Ltd","ALIVUS","1,380.6","-0.69%","59,205",""
43,"Poly Medicure Limited","POLYMED","1,735.5","-0.7%","57,453",""
44,"3B Blackbio DX Ltd","3BBLACKBIO","1,433","-0.71%","16,922",""
45,"Tourism Finance Corporation Of India Limited","TFCILTD","141.91","-0.88%","47,06,910",""
46,"Gland Pharma Ltd","GLAND","2,920","-0.91%","3,05,903",""
47,"Tirupati Forge Ltd","TIRUPATIFL","69.79","-0.98%","1,09,029",""
48,"Nazara Technologies Ltd","NAZARA","370.8","-1.03%","9,40,831",""
49,"Blue Jet Healthcare Ltd","BLUEJET","569.25","-1.05%","2,57,633",""
50,"Kcp Sugar And Industries Corporation Limited","KCPSUGIND","31.46","-1.13%","52,563",""
51,"Sambhv Steel Tubes Ltd","SAMBHV","131","-1.14%","17,36,546",""
52,"Divi's Laboratories Limited","DIVISLAB","9,321.5","-1.24%","4,72,730",""
53,"Arman Financial Services Limited","ARMANFIN","2,010","-1.3%","10,985",""
54,"Jindal Saw Limited","JINDALSAW","312.85","-1.46%","16,51,309",""
55,"Paras Defence and Space Technologies Ltd","PARAS","1,429.7","-1.62%","6,02,494",""
56,"Mm Forgings Limited","MMFL","632.1","-1.86%","59,517",""
57,"Network People Services Technologies Ltd","NPST","1,683.5","-2.04%","16,996",""
58,"EMS Ltd","EMSLIMITED","383","-2.15%","1,45,910",""
59,"Asahi Songwon Colors Limited","ASAHISONG","367","-2.3%","21,239",""
60,"Kalyan Jewellers India Ltd","KALYANKJIL","600.7","-2.36%","57,60,049",""
61,"Leela Palaces Hotels & Resorts Ltd","THELEELA","540.7","-2.43%","2,53,418",""
62,"Mps Limited","MPSLTD","2,623.5","-3.05%","21,260",""
63,"Kennametal India Ltd","KENNAMET","4,687","-6.78%","62,907",""
