,is_n,is_a_r20,is_a_r60,is_b_r20,is_b_r60,is_b_stop40,is_b_fill,oos_n,oos_a_r20,oos_a_r60,oos_b_r20,oos_b_r60,oos_b_stop40,oos_b_fill
ALL,14069.0,2.31,7.3,2.74,7.55,4.43,45.0,12698.0,2.11,6.89,2.37,7.38,3.77,48.0
above200,11106.0,2.28,6.98,2.57,7.14,4.05,45.0,10830.0,2.35,7.54,2.62,7.94,4.11,49.0
below200,2963.0,2.42,8.48,3.35,9.09,5.86,45.0,1868.0,0.7,2.9,0.7,3.41,1.48,43.0
above50&200,9833.0,2.16,6.95,2.42,7.08,4.01,47.0,9822.0,2.53,7.82,2.69,7.98,4.19,51.0
tsma>=2cr,10355.0,2.16,6.87,2.4,6.9,3.98,47.0,11023.0,2.19,6.39,2.44,7.04,3.57,49.0
tsma<1cr,2377.0,2.8,9.12,3.99,10.23,5.57,41.0,1052.0,1.73,11.31,2.05,11.28,5.87,39.0
adr<=4,3751.0,1.92,4.97,1.91,4.33,2.49,56.0,4716.0,2.17,7.14,2.27,7.77,4.02,54.0
adr>6,3190.0,2.1,7.29,3.11,8.69,6.16,35.0,1629.0,1.2,3.4,1.58,2.09,1.67,38.0
base_depth<=8,228.0,2.08,2.72,1.78,1.23,1.89,71.0,307.0,-0.11,3.47,0.16,3.81,0.6,65.0
base_depth>12,12201.0,2.32,7.52,2.81,7.92,4.71,43.0,10422.0,2.12,6.98,2.33,7.3,3.78,46.0
close within 3% of base hi,1575.0,2.04,5.39,1.87,4.95,2.61,80.0,1888.0,2.46,7.73,2.86,8.08,4.72,78.0
off_hi250>-10,4717.0,2.23,7.32,2.13,6.87,3.75,56.0,6042.0,3.14,8.48,2.98,8.27,4.47,59.0
off_hi250<-30,1735.0,1.19,6.45,2.31,8.06,5.75,40.0,982.0,0.17,2.6,-1.19,0.39,-1.55,39.0
ret60>=30,6536.0,2.49,7.81,2.82,8.1,4.72,45.0,5636.0,2.43,7.93,2.62,7.8,4.21,49.0
ret60<15,2280.0,2.45,8.92,3.68,10.85,6.17,45.0,1849.0,1.55,4.95,2.34,6.14,3.03,40.0
breadth>40,10752.0,2.7,7.92,2.92,8.0,4.4,45.0,10923.0,2.0,7.05,2.39,7.75,3.88,47.0
breadth<=40,3317.0,1.03,5.28,2.12,6.1,4.52,45.0,1775.0,2.76,6.04,2.25,5.52,3.12,52.0
"COMBO: above50&200, tsma>=2cr, adr<=6, base_depth<=10, off_hi250>-15",382.0,1.59,2.67,0.93,1.54,1.59,70.0,637.0,1.64,5.86,1.69,5.83,1.99,65.0
