,1,2,3,4,5,6,7,8,9,10,11,12
2017,,,,,,,,,,,0.2,4.1
2018,0.9,-7.4,-3.2,8.1,-0.4,-2.7,3.8,5.6,-2.7,-1.9,-2.4,0.6
2019,0.3,2.5,-0.4,1.2,-1.8,-0.5,-4.2,1.2,-0.4,3.4,2.2,0.3
2020,0.5,-3.4,-8.8,0.0,0.0,-2.7,3.3,8.5,-2.4,-0.2,11.7,7.6
2021,-0.8,12.2,10.4,7.3,11.0,2.9,7.9,1.5,-3.9,-0.2,-1.9,-1.4
2022,-2.8,-5.9,11.7,-1.1,-9.2,-2.2,1.8,5.7,1.1,3.0,0.3,-4.3
2023,-4.4,-3.9,8.9,8.0,0.7,13.2,12.4,12.6,-2.4,-1.1,5.4,5.2
2024,9.6,7.0,5.3,5.9,0.8,1.5,6.7,11.1,10.3,-8.9,2.0,0.2
2025,-10.4,-0.6,0.9,0.8,-0.1,2.0,-8.2,-3.4,5.5,3.9,0.2,4.2
2026,-0.2,2.9,-9.6,2.2,-0.5,4.0,1.0,20.8,2.6,,,
