symbol,entry_date,exit_date,entry,exit,qty,pnl,ret_pct,r_mult,hold,reason
PGEL,2017-10-16,2017-11-15,40.70320425,36.0,2456,-11772.109637999994,-11.775987513317205,-0.5828876559888436,20,stop
EMKAY,2017-10-23,2017-11-22,280.64987499999995,232.64,354,-17201.382149999976,-17.313912931548586,-0.8571455661174061,22,stop
ADANIENSOL,2017-11-15,2017-12-04,209.9235,171.28,432,-16878.974399999977,-18.612351642383988,-0.9214262973575288,13,stop
CPCAP,2017-10-18,2017-12-06,149.87375,130.72,667,-12993.52684999998,-12.997973294189258,-0.6434799124654187,33,stop
BHARTIARTL,2017-12-04,2018-01-29,477.240125,429.92,155,-7501.213374999992,-10.140581745929254,-0.5020213926071149,38,stop
PCJEWELLER,2017-10-17,2018-01-31,37.952344249999996,48.09,2630,26345.842872500027,26.394761504093417,1.3056544940615793,72,stop
GRAPHITE,2017-12-06,2018-02-01,584.4575,724.8,148,20502.51400000001,23.702407788419187,1.1734154966859376,39,stop
CDSL,2017-10-17,2018-02-02,191.97343675,158.75,520,-17482.56211,-17.513001964840846,-0.8668729377109676,74,stop
TRENT,2017-10-18,2018-02-05,211.22674999999998,188.4,473,-11019.835749999984,-11.029734633515865,-0.5460399491407238,74,stop_gap
VISAKAIND,2017-10-23,2018-02-05,141.15200000000002,129.05,704,-8746.936000000002,-8.802301773974156,-0.4357682730078562,73,stop_gap
JUBLFOOD,2017-10-17,2018-02-06,154.786,180.5,645,16294.473750000005,16.321082010000907,0.8079943069148597,76,stop_gap
TATASTEEL,2017-10-23,2018-02-06,68.99415525,62.1,1441,-10158.192965249997,-10.217394827803181,-0.5055455223793491,74,stop_gap
FACT,2018-02-02,2018-02-06,57.393125,43.7,1786,-24651.041749999975,-24.04882989033963,-1.1905655291390358,2,stop_gap
RAMKY,2018-02-01,2018-02-08,222.45475,179.76,464,-20018.885599999994,-19.394573503150635,-0.9601511079954825,5,stop
APEX,2018-02-07,2018-02-22,733.8299999999999,647.92,124,-10853.695199999973,-11.92780344221411,-0.5904998988059087,10,stop
JUBLPHARMA,2018-02-05,2018-03-01,874.28025,831.2,110,-4967.407500000001,-5.165191596172967,-0.2557088679093036,17,stop
SONATSOFTW,2018-01-29,2018-03-23,112.78125,109.92,594,-1862.8136999999915,-2.7806483790523564,-0.13765925925925862,37,stop
UNICHEMLAB,2018-03-01,2018-04-02,333.882625,283.2,274,-14081.03125,-15.391823698522797,-0.7619902843342765,19,stop
SUNTECK,2017-10-18,2018-06-04,325.71225,376.0,307,15149.759250000017,15.150719691998093,0.7500541477149677,154,stop
MASTEK,2018-04-03,2018-06-05,538.3425,496.0,174,-7583.354999999996,-8.095682581256352,-0.4007862611214566,44,stop
BIOCON,2018-02-06,2018-07-25,280.80025,278.64,333,-951.331050000008,-1.0173958178456122,-0.050367373204455626,116,stop
HDFCLIFE,2018-02-06,2018-09-12,419.04499999999996,438.6,223,4116.245500000019,4.404896848787144,0.21806958473625246,149,stop
PFIZER,2018-02-08,2018-09-19,2312.6171249999998,3078.16,36,27282.50910000001,32.770122940259746,1.6223233702523658,151,stop
JUBLFOOD,2018-04-04,2018-09-21,233.48225,252.48,209,3838.6089500000016,7.866358149281159,0.38943328615577094,117,stop
LTM,2018-02-06,2018-10-25,1203.0,1589.6,77,29462.202000000005,31.805985037406487,1.5745925925925928,176,stop
INFY,2018-01-31,2018-11-26,581.02143125,603.9,182,3889.125012500008,3.677802160245194,0.18206149931395713,199,stop
TECHM,2018-02-22,2019-07-05,577.940448,669.2,138,12362.944176000019,15.501000545993996,0.7673336893747952,335,stop
ICICIGI,2019-05-28,2019-07-11,1130.82,1026.72,89,-9493.345199999996,-9.43269485859818,-0.4669766220120829,31,stop
REPCOHOME,2019-05-29,2019-07-22,416.03749999999997,340.52,243,-18557.618399999978,-18.35622990715979,-0.9087466904655652,37,stop
BAJAJFINSV,2019-05-28,2019-07-25,822.05,686.4,122,-16758.651999999987,-16.710175780062027,-0.8272568503462808,41,stop
YESBANK,2020-01-10,2020-01-14,48.069875,38.68,2163,-20519.461725000016,-19.734969146476885,-0.977002793547806,2,stop
RPGLIFE,2020-01-10,2020-02-01,307.7675,281.16,337,-9203.604799999972,-8.873711486755397,-0.4393034945912241,16,stop
CANBK,2020-01-03,2020-02-03,44.02789525,35.25,2351,-20844.013607749992,-20.137279330880567,-0.9964176921502867,22,stop
TMPV,2020-01-14,2020-02-03,135.086875,111.08,763,-18529.130724999995,-17.97700553810279,-0.8899727433060767,15,stop
GLENMARK,2020-01-03,2020-02-25,354.885,292.16,291,-18465.521399999983,-17.880552855150242,-0.8851977401129933,37,stop
TATASTEEL,2020-01-14,2020-02-26,47.38606975,38.54,2000,-17884.839499999987,-18.871410516167558,-0.9338298470518136,31,stop_gap
STAR,2020-01-03,2020-03-02,335.41173825,392.03,308,17136.56151900001,16.58802611986405,0.8212067791485788,41,stop
SBIN,2020-02-01,2020-03-06,313.96726075,261.54,301,-15977.414335749985,-16.906575106971548,-0.8368816518692235,24,stop
BLUEDART,2020-02-03,2020-03-06,2656.675125,2456.8,26,-5356.445250000004,-7.754697706969351,-0.3839054049993467,23,stop
TATACONSUM,2019-05-28,2020-03-09,235.97606899999997,326.4,427,38262.586536999996,37.97331287860381,1.8799102355178492,194,stop
AAVAS,2020-02-03,2020-03-12,1961.8925,1630.4,50,-16778.425000000003,-17.10432656223519,-0.8467697470933717,26,stop
DIVISLAB,2017-11-22,2020-03-13,1050.62,1800.0,78,58100.640000000014,70.89908815746895,3.509942512487044,568,stop_gap
IPCALAB,2019-05-31,2020-03-19,468.919375,616.0,215,31291.234375,31.037451800749334,1.5365454533457383,198,stop
RAYMOND,2020-06-24,2020-07-14,183.0763495,154.85,502,-14363.964198999995,-15.629257726705978,-0.7736225631026387,14,stop
ZEEL,2020-06-26,2020-07-27,175.9365445,146.63,519,-15400.349020499998,-16.865807831072864,-0.8347680461598732,21,stop
AUROPHARMA,2020-06-23,2020-09-09,792.4762499999999,774.0,115,-2347.2937499999825,-2.5756292381001766,-0.12750954623187297,56,stop
BHARTIARTL,2020-06-25,2020-09-14,545.05925,468.64,168,-13035.262799999997,-14.235305611270698,-0.704735500014759,57,stop
SAIL,2020-06-25,2020-09-21,30.877,35.8,2975,14379.662499999991,15.65404670142824,0.774971941638608,62,stop
TMPV,2020-06-23,2020-09-24,71.07725,85.48,1290,18303.874500000005,19.962857313697423,0.9882846645423042,67,stop
BBTC,2020-07-27,2020-09-24,1253.125,1252.0,60,-255.3000000000029,-0.33955112219451755,-0.01680987654321007,43,stop
BANDHANBNK,2020-09-14,2020-09-24,313.28125,254.72,251,-14858.710549999996,-18.896135660847875,-0.9354753580246912,8,stop
TORNTPOWER,2020-06-24,2020-10-13,323.70725,295.12,283,-8298.98914999998,-9.059126726386243,-0.4484826934914671,78,stop
