"Date","Symbol","Marketcapname","Sector"
"20-01-2026","INFOBEAN","Smallcap","I.T"
"20-01-2026","HDFCSILVER","Smallcap","Indices"
"20-01-2026","TATSILV","Smallcap","Indices"
"20-01-2026","SBISILVER","Smallcap","Indices"
"20-01-2026","GROWWSLVR","Smallcap","Indices"
"20-01-2026","PATELRMART","Smallcap","Consumer Discretionary"
"21-01-2026","MRPL","Largecap","Energy"
"21-01-2026","NOCIL","Smallcap","Chemicals"
"21-01-2026","KABRAEXTRU","Smallcap","Industrials"
"21-01-2026","PICCADIL","Midcap","FMCG"
"21-01-2026","GOLDBEES","Smallcap","Indices"
"21-01-2026","GOLDBETA","Smallcap","Indices"
"21-01-2026","BSLGOLDETF","Smallcap","Indices"
"21-01-2026","CREDITACC","Largecap","Financials"
"21-01-2026","GOLD1","Smallcap","Indices"
"21-01-2026","GOLDAXIS","Smallcap","Indices"
"21-01-2026","HDFCGOLD","Smallcap","Indices"
"21-01-2026","GOLDIETF","Smallcap","Indices"
"21-01-2026","SILVER","Smallcap","Indices"
"21-01-2026","GOLDETF","Smallcap","Indices"
"21-01-2026","BBNPPGOLD","Smallcap","Indices"
"21-01-2026","TATSILV","Smallcap","Indices"
"21-01-2026","ROSSTECH","Smallcap","Aerospace & Defence"
"21-01-2026","VMSTMT","Smallcap","Metals & Mining"
"22-01-2026","JINDALPOLY","Smallcap","Textiles"
"22-01-2026","RALLIS","Smallcap","Chemicals"
"22-01-2026","GENESYS","Smallcap","I.T"
"22-01-2026","AEROENTER","Smallcap","Metals & Mining"
"22-01-2026","TRANSWORLD","Smallcap","Transportation"
"22-01-2026","SHANTIGEAR","Midcap","Industrials"
"22-01-2026","KABRAEXTRU","Smallcap","Industrials"
"22-01-2026","JINDALPHOT","Smallcap","Financials"
"22-01-2026","VASCONEQ","Smallcap","Realty"
"22-01-2026","BAJAJCON","Midcap","FMCG"
"22-01-2026","SCHNEIDER","Largecap","Industrials"
"22-01-2026","MINDACORP","Midcap","Auto"
"22-01-2026","ZOTA","Smallcap","Healthcare"
"22-01-2026","MEDICO","Smallcap","Healthcare"
"22-01-2026","KAPSTON","Smallcap","Miscellaneous"
"22-01-2026","CREDITACC","Largecap","Financials"
"22-01-2026","UJJIVANSFB","Midcap","Bank"
"22-01-2026","RKSWAMY","Smallcap","Media"
"22-01-2026","WAAREEENER","Largecap","Industrials"
"22-01-2026","GLOBECIVIL","Smallcap","Realty"
"22-01-2026","BLUESTONE","Midcap","Consumer Discretionary"
"22-01-2026","CANHLIFE","Midcap","Financials"
"23-01-2026","KITEX","Smallcap","Consumer Discretionary"
"23-01-2026","ANTELOPUS","Smallcap","Energy"
"23-01-2026","EKC","Smallcap","Industrials"
"23-01-2026","TANLA","Midcap","I.T"
"23-01-2026","MEDICO","Smallcap","Healthcare"
"23-01-2026","AWHCL","Smallcap","Miscellaneous"
"23-01-2026","DBOL","Smallcap","FMCG"
"27-01-2026","MTNL","Smallcap","Telecom"
"27-01-2026","KITEX","Smallcap","Consumer Discretionary"
"27-01-2026","DOLPHIN","Smallcap","Energy"
"27-01-2026","ANTELOPUS","Smallcap","Energy"
"27-01-2026","PTC","Smallcap","Power & Utilities"
"27-01-2026","DCBBANK","Midcap","Bank"
"27-01-2026","PFS","Smallcap","Financials"
"27-01-2026","KARURVYSYA","Largecap","Bank"
"27-01-2026","APEX","Smallcap","FMCG"
"27-01-2026","HOMEFIRST","Midcap","Financials"
"27-01-2026","SONACOMS","Largecap","Auto"
"27-01-2026","GOCOLORS","Smallcap","Textiles"
"27-01-2026","DBOL","Smallcap","FMCG"
"27-01-2026","LANDMARK","Smallcap","Consumer Discretionary"
"27-01-2026","TATSILV","Smallcap","Indices"
"27-01-2026","IXIGO","Midcap","I.T"
"27-01-2026","SILVERCASE","Smallcap","Indices"
"27-01-2026","AEGISVOPAK","Largecap","Transportation"
"28-01-2026","BEML","Midcap","Aerospace & Defence"
"28-01-2026","BEL","Largecap","Aerospace & Defence"
"28-01-2026","CGPOWER","Largecap","Industrials"
"28-01-2026","ONGC","Largecap","Energy"
"28-01-2026","NAVNETEDUL","Smallcap","Miscellaneous"
"28-01-2026","HINDCOPPER","Largecap","Metals & Mining"
"28-01-2026","OMAXAUTO","Smallcap","Auto"
"28-01-2026","WANBURY","Smallcap","Healthcare"
"28-01-2026","MIRZAINT","Smallcap","Consumer Discretionary"
"28-01-2026","TNPL","Smallcap","Building Materials"
"28-01-2026","INTENTECH","Smallcap","I.T"
"28-01-2026","STLTECH","Largecap","Industrials"
"28-01-2026","AVANTEL","Smallcap","Aerospace & Defence"
"28-01-2026","OLECTRA","Midcap","Auto"
"28-01-2026","TANLA","Midcap","I.T"
"28-01-2026","MOTILALOFS","Largecap","Financials"
"28-01-2026","OIL","Largecap","Energy"
"28-01-2026","RPEL","Midcap","Building Materials"
"28-01-2026","SKMEGGPROD","Smallcap","FMCG"
"28-01-2026","TEJASNET","Midcap","Telecom"
"28-01-2026","INFOBEAN","Smallcap","I.T"
"28-01-2026","MAHLOG","Smallcap","Transportation"
"28-01-2026","SPENCERS","Smallcap","Consumer Discretionary"
"28-01-2026","ACUTAAS","Largecap","Healthcare"
