,count,mean,std,min,10%,25%,50%,75%,90%,max,win_rate
gap_open_pct,32882.0,0.99,2.33,-20.0,-1.14,-0.07,0.69,1.7,3.49,27.38,69.10625892070819
r1,32882.0,-0.61,4.64,-51.28,-5.57,-3.31,-1.06,1.56,4.86,36.91,38.182149473108815
r2,32806.0,-0.85,6.32,-57.19,-7.48,-4.55,-1.55,2.0,6.52,48.2,37.00993045643657
r3,32633.0,-0.92,7.39,-58.54,-8.7,-5.25,-1.67,2.37,7.6,57.58,37.747881806310545
r5,32433.0,-0.91,8.88,-66.22,-10.32,-6.24,-1.87,3.17,9.53,77.88,38.77433265510644
r10,32151.0,-0.62,11.64,-71.73,-12.98,-7.85,-2.04,5.04,13.3,120.14,40.578213732576145
r20,31677.0,-0.03,15.76,-87.37,-16.6,-9.87,-2.07,7.51,18.95,203.89,41.953900816909105
r40,31085.0,1.24,21.98,-99.66,-21.61,-12.89,-2.16,11.83,27.85,227.33,42.83762033465942
r60,30511.0,2.88,27.61,-92.46,-25.05,-14.72,-1.74,15.49,35.59,553.32,43.505724437425975
mae20,32882.0,-11.44,8.0,-88.4,-21.87,-15.81,-10.12,-5.43,-2.47,0.0,0.0
mfe20,32882.0,13.47,14.07,0.0,1.41,3.92,9.24,18.36,30.78,240.96,97.15144705274984
