,r5,r5,r5,r10,r10,r10,r20,r20,r20
,mean,median,count,mean,median,count,mean,median,count
year,,,,,,,,,
2017,0.05,-1.38,2400,0.85,-0.9,2400,2.63,-0.43,2399
2018,-2.7,-3.35,1701,-4.36,-5.37,1699,-6.9,-8.06,1696
2019,-1.59,-2.49,1513,-2.48,-3.09,1513,-3.81,-4.28,1513
2020,-1.7,-2.49,3394,-0.87,-2.2,3395,-0.57,-2.02,3395
2021,-0.26,-1.84,4376,0.51,-1.54,4376,2.8,-0.38,4376
2022,-1.62,-2.44,3683,-1.57,-2.83,3683,-2.39,-4.22,3683
2023,-0.14,-1.08,4083,0.74,-0.6,4081,2.79,0.91,4068
2024,-0.77,-1.79,4851,-0.73,-2.51,4726,-0.02,-2.59,4561
2025,-1.01,-1.78,3373,-1.15,-2.28,3323,-1.19,-2.83,3264
2026,-0.63,-1.29,3059,-0.04,-1.4,2955,0.51,-1.85,2722
