,1,2,3,4,5,6,7,8,9,10,11,12
2017,,,,,,,,,,,12.5,3.1
2018,-2.9,-8.1,-3.8,4.7,-8.5,-1.9,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,-2.1,-2.1,0.3,0.1,0.0,0.0,0.0,0.0
2020,2.2,-1.8,-1.7,0.0,0.0,-2.0,8.2,5.6,1.8,-1.6,9.1,-0.2
2021,3.3,5.9,-8.0,9.7,3.3,1.3,15.3,-3.3,14.2,-0.4,3.8,-4.3
2022,4.0,-3.4,-0.3,22.0,-7.9,0.0,0.0,1.8,1.8,6.9,-1.0,-6.0
2023,-0.9,-7.1,-1.0,1.9,2.3,9.4,9.2,11.1,4.6,6.9,11.9,4.4
2024,21.3,-5.9,-6.2,13.3,2.7,3.4,4.3,2.7,9.7,-11.4,1.0,-0.3
2025,-3.0,0.8,-0.2,0.0,0.0,0.1,-1.2,-1.4,-0.0,2.7,-0.2,3.7
2026,-6.0,0.0,0.0,0.0,-3.8,6.5,-6.2,18.8,-0.8,,,
