start,end,years,final_equity,total_return_pct,cagr_pct,max_dd_pct,calmar,sharpe,trades,avg_open_positions,exposure_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_ret_pct,median_ret_pct,profit_factor,avg_r,avg_hold,best_pct,worst_pct,is_cagr,is_dd,oos_cagr,oos_dd,label
2017-10-16,2026-09-09,8.9,4438056,343.8,18.23,-27.94,0.65,0.97,761,6.32,63.2,37.8,16.5,-6.05,2.48,-2.3,1.55,0.2,18.3,241.8,-13.9,12.6,-27.9,26.0,-19.8,FINAL: br>40 stop12 ema21 v3 10slots
2017-10-16,2026-09-09,8.9,3865510,286.6,16.41,-26.79,0.61,0.89,782,6.31,63.1,36.1,16.73,-5.99,2.21,-2.59,1.48,0.22,17.7,241.8,-12.0,11.7,-26.8,22.8,-22.3,  stop_pct=10
2017-10-16,2026-09-09,8.9,3922178,292.2,16.6,-29.53,0.56,0.91,761,6.33,63.3,38.0,15.89,-5.99,2.32,-2.25,1.53,0.15,18.3,241.8,-15.5,11.0,-29.5,24.6,-19.3,  stop_pct=15
2017-10-16,2026-09-09,8.9,2605546,160.6,11.36,-29.68,0.38,0.69,750,6.23,62.3,35.2,16.29,-6.25,1.69,-3.1,1.3,0.14,18.3,241.8,-13.9,12.0,-29.7,10.4,-27.6,  entry_valid=2
2017-10-16,2026-09-09,8.9,4088333,308.8,17.15,-26.68,0.64,0.92,840,6.42,64.2,39.3,14.1,-5.73,2.06,-1.94,1.5,0.17,16.8,241.8,-14.1,12.8,-26.7,22.4,-25.6,  entry_valid=5
2017-10-16,2026-09-09,8.9,3612917,261.3,15.53,-29.62,0.52,0.83,620,5.13,64.1,36.9,15.99,-6.01,2.11,-2.5,1.5,0.17,18.2,241.8,-13.9,8.7,-29.6,25.0,-21.7,  max_positions=8
2017-10-16,2026-09-09,8.9,2939398,193.9,12.88,-26.22,0.49,0.8,1108,9.04,60.2,36.9,15.61,-6.2,1.85,-2.77,1.34,0.15,17.9,312.9,-14.1,12.8,-26.2,12.6,-23.8,  max_positions=15
2017-10-16,2026-09-09,8.9,3848072,284.8,16.35,-28.45,0.57,0.89,777,6.34,63.4,37.1,16.02,-6.0,2.16,-2.39,1.49,0.18,17.9,241.8,-13.9,12.2,-28.4,21.7,-20.2,  max_new_per_day=5
2017-10-16,2026-09-09,8.9,3611581,261.2,15.53,-29.59,0.52,0.85,761,6.32,63.2,37.1,16.5,-6.26,2.17,-2.59,1.46,0.18,18.3,240.8,-14.2,10.2,-29.6,22.8,-23.0,  cost_bps_side=40
2017-10-16,2026-09-09,8.9,2727817,172.8,11.94,-31.87,0.37,0.68,761,6.32,63.2,35.7,16.63,-6.5,1.77,-2.98,1.34,0.14,18.3,239.4,-14.5,7.0,-31.9,18.6,-27.6,  cost_bps_side=60
2017-10-16,2026-09-09,8.9,3100055,210.0,13.56,-33.57,0.4,0.75,850,6.29,62.9,35.9,15.62,-6.0,1.76,-2.86,1.34,0.14,16.3,117.4,-27.8,15.7,-33.6,10.9,-21.9,  rank=none
2017-10-16,2026-09-09,8.9,2766207,176.6,12.11,-33.79,0.36,0.69,794,6.3,63.0,36.5,15.99,-6.67,1.61,-3.07,1.33,0.13,17.5,117.5,-27.7,10.1,-33.8,14.9,-18.3,  rank=change
2017-10-16,2026-09-09,8.9,1716197,71.6,6.26,-34.77,0.18,0.43,1331,5.96,59.6,37.5,9.99,-5.05,0.59,-2.25,1.12,0.05,9.8,109.6,-12.5,3.5,-29.4,9.8,-20.4,  exit_close_below_ema=10
2017-10-16,2026-09-09,8.9,4438056,343.8,18.23,-27.94,0.65,0.97,761,6.32,63.2,37.8,16.5,-6.05,2.48,-2.3,1.55,0.2,18.3,241.8,-13.9,12.6,-27.9,26.0,-19.8,  max_weight_pct=10
2017-10-16,2026-09-09,8.9,3625259,262.5,15.57,-45.03,0.35,0.81,898,7.32,73.2,36.7,16.21,-6.43,1.89,-2.97,1.42,0.15,17.9,241.8,-21.8,8.0,-45.0,26.5,-18.7,  breadth>30
2017-10-16,2026-09-09,8.9,4566874,356.7,18.61,-32.5,0.57,0.97,816,6.77,67.7,37.6,16.5,-6.23,2.32,-2.59,1.57,0.19,18.2,241.8,-13.9,10.2,-32.5,30.8,-17.1,  breadth>35
2017-10-16,2026-09-09,8.9,3567046,256.7,15.36,-30.83,0.5,0.87,705,5.78,57.8,36.6,16.49,-5.95,2.26,-2.58,1.43,0.18,18.0,128.6,-13.9,15.6,-22.8,14.3,-30.8,  breadth>45
2017-10-16,2026-09-09,8.9,2514938,151.5,10.92,-30.21,0.36,0.68,632,5.07,50.7,36.9,15.4,-5.99,1.89,-2.51,1.42,0.15,17.6,128.6,-13.9,5.0,-30.2,19.2,-16.2,  breadth>50
2017-10-16,2026-09-09,8.9,4520450,352.0,18.48,-48.78,0.38,0.86,1037,8.51,85.1,37.0,16.15,-6.35,1.98,-2.6,1.52,0.16,18.1,241.8,-24.2,6.1,-48.8,37.6,-21.6,  no gate
2017-10-16,2026-09-09,8.9,2261629,125.1,9.55,-35.9,0.27,0.6,717,6.15,61.5,34.7,17.82,-7.21,1.48,-3.82,1.26,0.12,18.9,308.5,-14.3,2.8,-29.9,19.5,-22.0,  entry=next_open
2017-10-16,2026-09-09,8.9,1068392,7.0,0.76,-48.1,0.02,0.14,958,6.64,66.4,35.8,11.76,-6.11,0.29,-2.63,1.02,0.02,15.3,128.6,-31.0,-3.7,-48.1,7.1,-28.1,  raw Chartink scan + gate + same exec
