start,end,years,final_equity,total_return_pct,cagr_pct,max_dd_pct,calmar,sharpe,trades,avg_open_positions,exposure_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_ret_pct,median_ret_pct,profit_factor,avg_r,avg_hold,best_pct,worst_pct,rule,gate,skip_gap,skip_slots,skip_cash,skip_liquidity,skip_gate,skip_stop_wide,skip_no_bar,skip_locked
2017-04-03,2026-09-09,9.43,97681,-90.3,-21.89,-90.43,-0.24,-1.74,928,1.99,19.9,32.5,7.76,-7.54,-2.56,-3.73,0.57,-0.03,5.0,66.7,-52.0,A_hold5_close,none,0,455,13,27989,0,0,25,39
2017-04-03,2026-09-09,9.43,95165,-90.5,-22.11,-90.68,-0.24,-2.14,721,1.55,15.5,28.3,8.0,-7.8,-3.33,-4.17,0.49,-0.03,5.0,34.7,-58.1,A_hold5_close,idx_10_20,0,372,0,19336,9132,0,20,28
2017-04-03,2026-09-09,9.43,94831,-90.6,-22.13,-90.71,-0.24,-1.29,844,3.62,36.2,37.1,9.47,-10.22,-2.92,-3.55,0.6,-0.03,10.0,61.9,-58.3,A_hold10_close,none,0,821,27,23679,0,0,25,32
2017-04-03,2026-09-09,9.43,93646,-90.7,-22.24,-91.05,-0.24,-2.14,472,2.02,20.2,29.2,7.78,-10.34,-5.04,-5.99,0.37,-0.05,10.0,41.1,-38.3,A_hold10_close,idx_10_20,0,429,28,18611,9132,0,20,25
2017-04-03,2026-09-09,9.43,130460,-87.0,-19.46,-90.34,-0.22,-0.68,1129,9.51,95.1,38.9,12.93,-11.22,-1.83,-3.8,0.71,-0.02,19.7,70.4,-48.8,A_hold20_close,none,0,2252,0,1,0,0,1,2
2017-04-03,2026-09-09,9.43,102257,-89.8,-21.51,-90.41,-0.24,-0.99,918,7.72,77.2,38.3,12.01,-11.21,-2.31,-4.21,0.53,-0.02,19.6,69.7,-46.9,A_hold20_close,idx_10_20,0,1445,0,35,9132,0,0,2
2017-04-03,2026-09-09,9.43,96562,-90.4,-21.99,-90.64,-0.24,-1.79,814,2.07,20.7,27.4,9.29,-7.67,-3.02,-8.46,0.52,-0.37,5.9,73.5,-32.6,B_stop8_hold10,none,0,428,28,28013,0,0,25,39
2017-04-03,2026-09-09,9.43,95540,-90.5,-22.07,-90.7,-0.24,-2.23,673,1.72,17.2,25.6,8.47,-7.74,-3.6,-8.46,0.44,-0.44,6.0,49.4,-57.8,B_stop8_hold10,idx_10_20,0,350,69,19406,9132,0,20,28
2017-04-03,2026-09-09,9.43,98748,-90.2,-21.8,-90.5,-0.24,-1.55,723,2.78,27.8,24.8,11.9,-8.35,-3.34,-8.46,0.5,-0.41,9.0,85.1,-57.8,B_stop8_hold20,none,0,515,557,26758,0,0,25,39
2017-04-03,2026-09-09,9.43,95297,-90.5,-22.09,-90.81,-0.24,-2.2,514,1.96,19.6,18.5,10.11,-8.18,-4.8,-8.46,0.35,-0.58,8.9,71.0,-57.8,B_stop8_hold20,idx_10_20,0,329,459,19345,9132,0,20,28
2017-04-03,2026-09-09,9.43,90951,-90.9,-22.48,-91.08,-0.25,-1.58,731,2.85,28.5,22.7,13.5,-8.43,-3.45,-7.73,0.54,-0.38,9.1,85.1,-57.8,B_siglow_hold20,none,0,549,380,26677,0,0,25,38
2017-04-03,2026-09-09,9.43,93686,-90.7,-22.23,-90.85,-0.24,-2.16,523,2.11,21.1,19.7,10.71,-8.53,-4.74,-8.33,0.38,-0.56,9.4,71.0,-57.8,B_siglow_hold20,idx_10_20,0,375,229,18986,9132,0,20,28
2017-04-03,2026-09-09,9.43,93278,-90.7,-22.27,-90.85,-0.25,-1.65,705,2.76,27.6,20.9,10.67,-7.31,-3.56,-6.6,0.43,-0.42,9.1,55.1,-57.8,C_siglow_chand3_be1,none,0,471,802,26919,0,0,25,39
