start,end,years,final_equity,total_return_pct,cagr_pct,max_dd_pct,calmar,sharpe,trades,avg_open_positions,exposure_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_ret_pct,median_ret_pct,profit_factor,avg_r,avg_hold,best_pct,worst_pct,is_cagr,is_dd,oos_cagr,oos_dd,rule,gate,skip_gap,skip_slots,skip_cash,skip_liquidity,skip_gate,skip_stop_wide,skip_no_bar,skip_locked
2017-10-16,2026-09-09,8.9,1076395,7.1,0.78,-44.88,0.02,0.14,1634,7.4,74.0,46.1,8.28,-6.77,0.17,-0.78,1.01,0.0,10.0,61.1,-38.9,-1.6,-44.9,4.0,-33.0,hold10_close,none,0,1083,0,0,0,0,0,0
2017-10-16,2026-09-09,8.9,2022860,101.4,8.18,-35.41,0.23,0.53,1232,5.6,56.0,47.5,8.92,-6.73,0.7,-0.72,1.17,0.01,10.0,61.1,-27.3,3.4,-35.4,14.8,-21.9,hold10_close,idx_10_20,0,839,0,0,1274,0,0,0
2017-10-16,2026-09-09,8.9,1598522,59.1,5.36,-53.45,0.1,0.35,950,8.56,85.6,47.4,10.93,-8.47,0.72,-0.76,1.13,0.01,19.8,75.2,-57.2,-1.8,-53.5,16.2,-18.0,hold20_close,none,0,1288,0,0,0,0,0,0
2017-10-16,2026-09-09,8.9,1348255,34.2,3.36,-43.82,0.08,0.27,758,6.84,68.4,45.5,11.44,-8.37,0.65,-1.07,1.1,0.01,19.9,80.5,-51.7,-2.0,-43.8,10.5,-23.9,hold20_close,idx_10_20,0,942,0,0,1274,0,0,0
2017-10-16,2026-09-09,8.9,449867,-55.2,-8.63,-67.33,-0.13,-0.33,1326,7.68,76.8,36.2,12.28,-7.6,-0.4,-8.46,0.86,-0.05,12.7,75.2,-20.9,-15.9,-63.8,2.6,-41.1,stop8_hold20,none,0,1132,2,0,0,0,0,0
2017-10-16,2026-09-09,8.9,634147,-36.9,-5.04,-44.25,-0.11,-0.2,1025,6.02,60.2,35.4,12.88,-7.51,-0.29,-8.46,0.91,-0.04,12.9,69.0,-22.1,-6.5,-41.3,-3.2,-39.2,stop8_hold20,idx_10_20,0,845,0,0,1274,0,0,0
2017-10-16,2026-09-09,8.9,601810,-40.1,-5.6,-66.38,-0.08,-0.17,1179,7.98,79.8,40.1,12.02,-8.4,-0.21,-3.15,0.9,-0.02,14.9,80.5,-20.9,-14.5,-61.2,8.5,-34.5,stop10_hold20,none,0,1172,0,0,0,0,0,0
2017-10-16,2026-09-09,8.9,797549,-20.6,-2.56,-40.48,-0.06,-0.05,914,6.27,62.7,39.7,12.65,-8.35,-0.01,-3.32,0.95,-0.0,15.1,86.5,-22.1,-3.8,-40.5,-1.0,-37.7,stop10_hold20,idx_10_20,0,880,0,0,1274,0,0,0
2017-10-16,2026-09-09,8.9,423441,-57.9,-9.25,-68.32,-0.14,-0.35,1308,7.7,77.0,36.1,12.3,-7.67,-0.47,-5.71,0.85,-0.04,12.9,75.2,-20.9,-15.6,-65.2,0.2,-41.0,siglow_hold20,none,0,1127,0,0,0,0,0,0
2017-10-16,2026-09-09,8.9,839960,-16.4,-1.99,-45.54,-0.04,-0.02,998,6.08,60.8,36.8,12.95,-7.49,0.03,-5.22,0.96,0.01,13.4,80.5,-22.1,-1.9,-45.5,-2.1,-33.3,siglow_hold20,idx_10_20,0,843,0,0,1274,0,0,0
2017-10-16,2026-09-09,8.9,627996,-37.5,-5.14,-58.75,-0.09,-0.16,1563,7.45,74.5,34.1,10.99,-5.99,-0.2,-3.25,0.91,-0.02,10.5,92.0,-16.4,-11.0,-51.1,3.6,-37.2,stop10_ema10,none,0,1038,0,0,0,0,0,0
