date,symbol
2026-01-29,ANNAPURNA
2026-01-30,KRISHNADEF
2026-02-02,SHILCTECH
2026-02-09,LEXUS
2026-03-09,AHCL
2026-03-24,ADVAIT
2026-03-25,GICL
2026-03-27,ANNAPURNA
2026-04-10,AHCL
2026-04-27,AYE
2026-06-23,BATLIBOI
2026-06-23,MENNPIS
2026-06-24,MAFATIND
2026-06-25,GNRL
2026-06-29,GNRL
2026-06-30,AEROPLANE
2026-07-01,FRONTSP
2026-07-03,AEROPLANE
2026-07-10,GOLDIAM
2026-08-05,TEMBO
2026-08-06,ANNAPURNA
2026-08-19,MERCURYEV
2026-08-31,STOVEKRAFT
2026-09-01,SAHLIBHFI
2026-09-02,AYMSYNTEX
2026-09-07,BODALCHEM
