,is_n,is_a_r10,is_a_r20,is_b_r20,is_c_r20,is_a_stop20,is_b_stop20,is_c_stop20,is_b_fill,oos_n,oos_a_r10,oos_a_r20,oos_b_r20,oos_c_r20,oos_a_stop20,oos_b_stop20,oos_c_stop20,oos_b_fill
ALL,17075.0,-0.86,-0.54,-0.58,-0.18,-1.18,-1.19,-0.84,76.0,15854.0,-0.19,0.65,0.86,0.88,-0.11,0.17,0.04,74.0
above50,15436.0,-0.86,-0.46,-0.49,-0.07,-1.16,-1.18,-0.81,77.0,14242.0,-0.19,0.65,0.91,0.91,-0.01,0.27,0.16,75.0
below50,1639.0,-0.79,-1.35,-1.56,-1.21,-1.31,-1.38,-1.15,69.0,1612.0,-0.15,0.61,0.31,0.63,-0.97,-0.95,-1.03,64.0
above200,11536.0,-0.85,-0.4,-0.49,0.08,-1.2,-1.27,-0.76,78.0,10984.0,-0.01,1.1,1.38,1.29,0.27,0.53,0.39,76.0
below200,5539.0,-0.87,-0.84,-0.77,-0.71,-1.12,-1.02,-1.01,72.0,4870.0,-0.6,-0.39,-0.44,-0.06,-0.96,-0.72,-0.74,70.0
above50&200,11310.0,-0.83,-0.38,-0.48,0.08,-1.19,-1.25,-0.76,78.0,10727.0,-0.0,1.11,1.39,1.31,0.27,0.52,0.4,76.0
nh20,12037.0,-0.86,-0.45,-0.54,-0.04,-1.16,-1.22,-0.8,79.0,11163.0,-0.05,0.93,1.2,1.21,0.17,0.4,0.36,77.0
nh60,8441.0,-0.8,-0.31,-0.51,0.15,-1.09,-1.23,-0.66,81.0,7973.0,0.19,1.41,1.67,1.7,0.52,0.74,0.71,79.0
nh250,4240.0,-0.62,-0.06,-0.48,0.41,-0.92,-1.15,-0.51,83.0,4327.0,0.07,1.48,1.74,1.85,0.39,0.57,0.69,79.0
not_nh20,5038.0,-0.85,-0.76,-0.7,-0.49,-1.21,-1.13,-0.95,70.0,4691.0,-0.52,-0.01,-0.04,0.13,-0.77,-0.48,-0.72,66.0
chg6.5-12,11983.0,-0.47,-0.08,-0.01,0.19,-0.78,-0.73,-0.54,74.0,11487.0,0.01,0.84,1.06,1.01,-0.05,0.23,0.04,72.0
chg>15,2897.0,-2.3,-2.4,-2.54,-1.55,-2.79,-2.81,-1.98,88.0,2398.0,-1.23,-0.67,-0.42,-0.09,-0.82,-0.6,-0.46,86.0
close_pos>=0.7,12325.0,-0.93,-0.59,-0.66,-0.19,-1.18,-1.28,-0.82,85.0,11689.0,-0.16,0.74,0.87,1.06,0.01,0.18,0.26,83.0
close_pos<0.5,1070.0,-1.32,-1.26,-0.36,-1.12,-1.59,-0.75,-1.47,35.0,984.0,-0.95,-0.58,0.31,-0.61,-0.99,-0.31,-1.26,34.0
turn>=5cr,14190.0,-0.67,-0.29,-0.31,-0.05,-0.95,-0.93,-0.74,76.0,14491.0,-0.01,0.88,1.14,1.06,0.07,0.37,0.16,74.0
tsma20>=2cr,11537.0,-0.33,0.1,0.07,0.24,-0.55,-0.57,-0.44,77.0,13052.0,0.26,1.23,1.43,1.38,0.29,0.56,0.36,75.0
tsma20<1cr,3302.0,-2.32,-2.27,-2.35,-1.34,-2.84,-3.04,-1.97,74.0,1628.0,-3.11,-3.12,-3.34,-2.35,-2.68,-2.55,-2.05,70.0
rvol3-6,8514.0,-0.37,0.01,-0.02,0.32,-0.72,-0.69,-0.46,80.0,6590.0,-0.01,0.93,1.05,1.11,0.04,0.26,0.16,79.0
